characteristic_id	original_source_id	original_source_status	doi_or_benchmark	openalex_id	openalex_citations	citation_snapshot_date	later_formal_evidence	evidence_relation	confidence_decision	notes
bm_ia	asness-2000	working-paper-only	10.2139/ssrn.213872	W1742241294	168	2026-07-26	Green-Hand-Zhang 2017 RFS; Gu-Kelly-Xiu 2020 RFS Internet Appendix; Fallahgoul-Franstianto-Lin 2024 Journal of Econometrics supplement; Feng-Giglio-Xiu 2020 Journal of Finance	Independent published cross-checks retain Asness-Porter-Stevens as a working paper and reproduce the characteristic definition; no journal successor or standalone published spread recipe was found.	retain-medium	Definition and annual frequency are verified; H-L/L-H direction is not independently stated in a source-level simple portfolio recipe.
cfp_ia	asness-2000	working-paper-only	10.2139/ssrn.213872	W1742241294	168	2026-07-26	Green-Hand-Zhang 2017 RFS; Gu-Kelly-Xiu 2020 RFS Internet Appendix; Fallahgoul-Franstianto-Lin 2024 Journal of Econometrics supplement; Feng-Giglio-Xiu 2020 Journal of Finance	Independent published cross-checks retain Asness-Porter-Stevens as a working paper and reproduce the characteristic definition; no journal successor or standalone published spread recipe was found.	retain-medium	Definition and annual frequency are verified; H-L/L-H direction is not independently stated in a source-level simple portfolio recipe.
chempia	asness-2000	working-paper-only	10.2139/ssrn.213872	W1742241294	168	2026-07-26	Green-Hand-Zhang 2017 RFS; Gu-Kelly-Xiu 2020 RFS Internet Appendix; Fallahgoul-Franstianto-Lin 2024 Journal of Econometrics supplement; Feng-Giglio-Xiu 2020 Journal of Finance	Independent published cross-checks retain Asness-Porter-Stevens as a working paper and reproduce the characteristic definition; no journal successor or standalone published spread recipe was found.	retain-medium	The source-year convention differs across later references (1994 versus 2000), and the source-level spread direction remains unstated.
me_ia	asness-2000	working-paper-only	10.2139/ssrn.213872	W1742241294	168	2026-07-26	Green-Hand-Zhang 2017 RFS; Gu-Kelly-Xiu 2020 RFS Internet Appendix; Fallahgoul-Franstianto-Lin 2024 Journal of Econometrics supplement; Feng-Giglio-Xiu 2020 Journal of Finance	Independent published cross-checks retain Asness-Porter-Stevens as a working paper and reproduce the characteristic definition; no journal successor or standalone published spread recipe was found.	retain-medium	Later literature calls the variable mve_ia; no source-level simple L-H recipe was found.
roic	brown-2007	working-paper-only	10.2139/ssrn.993467	W2171179474	56	2026-07-26	Green-Hand-Zhang 2017 RFS; Gu-Kelly-Xiu 2020 RFS Internet Appendix; Chen-Zimmermann 2022 Critical Finance Review; Fallahgoul-Franstianto-Lin 2024 Journal of Econometrics supplement	No journal successor was found, but multiple published sources and the Chen-Zimmermann public replication code independently reproduce the formula, annual frequency, and high-minus-low orientation.	promote-high	Confidence concerns construction and direction, not statistical strength; the reported original t-statistic is weak.
cashpr	chandrashekar-2009	working-paper-with-published-reformulation	10.2139/ssrn.1334162	W2132608841	52	2026-07-26	Green-Hand-Zhang 2017 RFS; Gu-Kelly-Xiu 2020 RFS Internet Appendix; Chen-Zimmermann 2022 Critical Finance Review and Online Appendix; Fallahgoul-Franstianto-Lin 2024 Journal of Econometrics supplement; Rao-Tang-Chandrashekar 2013 Journal of Investing	The 2013 final article publishes the reciprocal scaled-cash measure C and confirms the low-cash-productivity/high-C long leg. It is a formal successor/reformulation, but its denominator is market equity minus book equity rather than an exact match to the repository formula.	retain-medium	The repository uses (market equity + long-term debt - total assets) / cash; the 2009 eta reduces to (market equity - book equity) / cash when full book debt is used; the 2013 final publishes its reciprocal. Chen-Zimmermann instead uses (market equity - total assets) / cash. Direction is confirmed, but the formula variants prevent a high-confidence exact match.
chmom	gettleman-2006	working-paper-only	10.2139/ssrn.802724	W4214866000	38	2026-07-26	Green-Hand-Zhang 2017 RFS; Gu-Kelly-Xiu 2020 RFS Internet Appendix; Chen-Zimmermann 2022 Critical Finance Review; Jensen-Kelly-Pedersen 2023 JFE documentation; Fallahgoul-Franstianto-Lin 2024 Journal of Econometrics supplement	Published cross-checks reproduce the signal definition. CIZ explicitly omits Gettleman and Marks (2006); HXZ and JKP contain no identical difference factor, although JKP lists ret_6_1 and ret_12_7 separately. No peer-reviewed journal successor to the original paper was found.	retain-medium	Retain medium confidence. Novy-Marx (2012, JFE) is the closest top-journal component because it isolates the t−12 to t−7 return leg, but it is not the source of CHMOM and CHMOM subtracts that leg. Formula and H-L direction are supported; original portfolio-design details remain unverified.
rvar_capm	daily-stock-residual-variance-of-capm	method-label-not-working-paper	Ang et al. 2006 Journal of Finance; 10.1111/j.1540-6261.2006.00836.x			2026-07-26	Ang-Hodrick-Xing-Zhang 2006 Journal of Finance	The final article is the authoritative related benchmark and directly supports the low-minus-high direction; it uses a one-month daily-return window rather than the repository's three-month window.	retain-medium	This row is not attached to a working paper. Confidence remains medium because the implementation window is materially different.
rvar_ff3	daily-stock-residual-variance-of-fama-french-3-factors	method-label-not-working-paper	Ang et al. 2006 Journal of Finance; 10.1111/j.1540-6261.2006.00836.x			2026-07-26	Ang-Hodrick-Xing-Zhang 2006 Journal of Finance	The final article is the authoritative related benchmark and directly supports the low-minus-high direction; it uses a one-month daily-return window rather than the repository's three-month window.	retain-medium	This row is not attached to a working paper. Formula, legs, and direction match; the estimation window does not.
rvar_mean	daily-stock-return-variance	method-label-not-working-paper	Ang et al. 2006 Journal of Finance; 10.1111/j.1540-6261.2006.00836.x			2026-07-26	Ang-Hodrick-Xing-Zhang 2006 Journal of Finance	The final article is the authoritative related benchmark and directly supports the low-minus-high direction; it uses a one-month daily-return window rather than the repository's three-month window.	retain-medium	This row is not attached to a working paper. Direction matches, but the estimation window does not.
