characteristic_id	characteristic_name	source_code_path	source_paper_id	authoritative_paper_id	signal_definition	sort_variable	long_leg	short_leg	reported_lms_direction	code_effective_direction	code_paper_agreement	evidence_pointer	status	notes
abr	cumulative abnormal returns around earnings announcement dates	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	chan-1996		cumulative abnormal returns around earnings announcement dates	abr	High	Low	not-simple	H-L	n/a	paper: extracted-text/chan-1996.txt:222-240,270-290,329-345,670-679,783-784,833-847; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.abr	paper_source_no_simple_lms	Repo attribution: Chan, Jegadeesh, and Lakonishok (1996). Formula table direction: +1.
absacc	Absolute accruals	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	bandyopadhyay-2010		Absolute accruals	absacc	Low	High	L-H	L-H	yes	paper: https://citeseerx.ist.psu.edu/document?doi=def4e90345f7f37ec26dab23a24c50ed5552828a&repid=rep1&type=pdf#Table-II; web-indexed original working-paper PDF Table II; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.absacc	paper_direction_verified	Repo attribution: Bandyopadhyay, Huang, and Wirjanto (2010). Formula table direction: -1.
acc	Operating Accruals	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	sloan-1996		Operating Accruals	acc	Low	High	L-H	L-H	yes	paper: extracted-text/sloan-1996-publisher.txt:297-330,878-903,925-951,1009-1011; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.acc	paper_direction_verified	Repo attribution: Sloan (1996). Formula table direction: -1.
adm	Advertising Expense-to-market	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	chan-2001		Advertising Expense-to-market	adm	High	Low	not-simple	H-L	n/a	paper: extracted-text/chan-2001.txt:498-514,1142-1165,1195-1205,1210-1233,1367-1369; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.adm	paper_source_no_simple_lms	Repo attribution: Chan, Lakonishok, and Sougiannis (2001). Formula table direction: +1.
age	# years since first Compustat coverage	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	jiang-2005		# years since first Compustat coverage	age	Low	High	L-H	L-H	yes	paper: extracted-text/jiang-2005-publisher.txt:352,394-400,472-512,553-572; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.age	paper_direction_verified	Repo attribution: Jiang, Lee, and Zhang (2005). Formula table direction: -1.
agr	Asset growth	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	cooper-2008		Asset growth	agr	Low	High	L-H	L-H	yes	paper: doi:10.1111/j.1540-6261.2008.01370.x; scholar:10.1111/j.1540-6261.2008.01370.x_0043 (Table II); code: repo/chars/data/equity_long_short_raw_no_impute.json#series.agr	paper_direction_verified	Repo attribution: Cooper, Gulen, and Schill (2008). Formula table direction: -1.
alm	Quarterly Asset Liquidity	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	ortiz-molina-2014		Quarterly Asset Liquidity	alm	Low	High	not-simple	L-H	n/a	paper: extracted-text/ortiz-molina-2014-publisher.txt:86-119,219-226,307,340-388,548-570,642-723; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.alm	paper_source_no_simple_lms	Repo attribution: Ortiz-Molina and Phillips (2014). Formula table direction: -1.
ato	Asset Turnover	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	soliman-2008		Asset Turnover	ato	High	Low	not-simple	H-L	n/a	paper: extracted-text/soliman-2008-publisher.txt:391-399,669-729,837-905,1577-1713; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.ato	paper_source_no_simple_lms	Repo attribution: Soliman (2008). Formula table direction: +1.
baspread	Bid-ask spread rolling 3m	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	amihud-1989		Bid-ask spread rolling 3m	baspread	High	Low	N/A	H-L	n/a	paper: doi:10.1111/j.1540-6261.1989.tb05067.x; scholar:10.1111/j.1540-6261.1989.tb05067.x_0003 (Section I); scholar:10.1111/j.1540-6261.1989.tb05067.x_0004 (Table I); code: repo/chars/data/equity_long_short_raw_no_impute.json#series.baspread	paper_source_no_simple_lms	Repo attribution: Amihud and Mendelson (1989). Formula table direction: +1.
beta	Beta rolling 3m	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	fama-1973		Beta rolling 3m	beta	High	Low	not-simple	H-L	n/a	paper: extracted-text/fama-1973-publisher.txt:465-575,593-635,650-735; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.beta	paper_source_no_simple_lms	Repo attribution: Fama and MacBeth (1973). Formula table direction: +1.
bm	Book-to-market equity	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	rosenberg-1985		Book-to-market equity	bm	High	Low	not-simple	H-L	n/a	paper: extracted-text/rosenberg-1985-publisher.txt:3-63,128-179,278-295,328-347; visual first page; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.bm	paper_source_no_simple_lms	Repo attribution: Rosenberg, Reid, and Lanstein (1985). Formula table direction: +1.
bm_ia	Industry-adjusted book to market	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	asness-2000		Industry-adjusted book to market	bm_ia	High	Low	N/A	H-L	n/a	paper: extracted-text/fallahgoul-2024-supplement.txt:4435-4441@supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf; extracted-text/gu-2020-internet-appendix.txt:2088-2093@supporting-information/gu-2020/gu-kelly-xiu-2020-internet-appendix.pdf; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.bm_ia	paper_source_no_simple_lms	Repo attribution: Asness, Porter, and Stevens (2000). Formula table direction: +1.
cash	Cash holdings	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	lakonishok-1994		Cash holdings	cash	High	Low	N/A	H-L	n/a	paper: extracted-text/lakonishok-1994-publisher.txt:215-365,440-540; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.cash	paper_source_no_simple_lms	Repo attribution: Lakonishok, Shleifer, and Vishny (1994). Formula table direction: +1.
cashdebt	Cash flow to debt	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	ou-1989		Cash flow to debt	cashdebt	High	Low	not-simple	H-L	n/a	paper: extracted-text/ou-1989.txt:396-470 (Table 2),535-617 (Table 3),665-685 (preset strategy),860-890 (Table 6 notes); papers/ou-1989/ou-1989.pdf; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.cashdebt	paper_source_no_simple_lms	Repo attribution: Ou and Penman (1989). Formula table direction: +1.
cashpr	Cash productivity	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	chandrashekar-2009		Cash productivity	cashpr	Low	High	L-H	L-H	yes	paper: extracted-text/rao-2013-publisher.txt:12-51,63-65,85-93,104-125,267-270,320-324,571-583@papers/rao-2013/rao2013.pdf; extracted-text/fallahgoul-2024-supplement.txt:4453-4461@supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf; extracted-text/gu-2020-internet-appendix.txt:2109-2114@supporting-information/gu-2020/gu-kelly-xiu-2020-internet-appendix.pdf; extracted-text/chen-zimmermann-2022-online-appendix.txt:570-575@supporting-information/chen-zimmermann-2022/chen-zimmermann-2022-online-appendix.pdf; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.cashpr	paper_direction_verified	Repo attribution: Chandrashekar and Rao (2009). Formula table direction: -1.
cfp	Cash flow to price ratio	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	lakonishok-1994		Cash flow to price ratio	cfp	High	Low	H-L	H-L	yes	paper: extracted-text/lakonishok-1994-publisher.txt:215-365,440-565; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.cfp	paper_direction_verified	Repo attribution: Lakonishok, Shleifer, and Vishny (1994). Formula table direction: +1.
cfp_ia	Industry-adjusted cash flow to price ratio	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	asness-2000		Industry-adjusted cash flow to price ratio	cfp_ia	High	Low	N/A	H-L	n/a	paper: extracted-text/fallahgoul-2024-supplement.txt:4485-4491@supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf; extracted-text/gu-2020-internet-appendix.txt:2123-2128@supporting-information/gu-2020/gu-kelly-xiu-2020-internet-appendix.pdf; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.cfp_ia	paper_source_no_simple_lms	Repo attribution: Asness, Porter, and Stevens (2000). Formula table direction: +1.
chatoia	Industry-adjusted change in asset turnover	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	soliman-2008		Industry-adjusted change in asset turnover	chatoia	High	Low	not-simple	H-L	n/a	paper: extracted-text/soliman-2008-publisher.txt:391-399,669-729,837-905,1577-1713; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.chatoia	paper_source_no_simple_lms	Repo attribution: Soliman (2008). Formula table direction: +1.
chcsho	Change in shares outstanding	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	pontiff-2008		Change in shares outstanding	chcsho	Low	High	not-simple	L-H	n/a	paper: extracted-text/pontiff-2008-publisher.txt:151-216,565-615,743-783; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.chcsho	paper_source_no_simple_lms	Repo attribution: Pontiff and Woodgate (2008). Formula table direction: -1.
chempia	Industry-adjusted change in employees	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	asness-2000		Industry-adjusted change in employees	chempia	Low	High	N/A	L-H	n/a	paper: extracted-text/fallahgoul-2024-supplement.txt:4522-4528@supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf; extracted-text/gu-2020-internet-appendix.txt:2144-2149@supporting-information/gu-2020/gu-kelly-xiu-2020-internet-appendix.pdf; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.chempia	paper_source_no_simple_lms	Repo attribution: Asness, Porter, and Stevens (2000). Formula table direction: -1.
chinv	Change in inventory	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	thomas-2002		Change in inventory	chinv	Low	High	L-H	L-H	yes	paper: extracted-text/thomas-2002-publisher.txt:17-24,110-116,128-143,182-205,226-257; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.chinv	paper_direction_verified	Repo attribution: Thomas and Zhang (2002). Formula table has no entry for this signal.
chmom	Change in 6-month momentum	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	gettleman-2006		Change in 6-month momentum	chmom	High	Low	H-L	H-L	yes	paper: extracted-text/fallahgoul-2024-supplement.txt:4540-4546@supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf; extracted-text/gu-2020-internet-appendix.txt:2158-2163@supporting-information/gu-2020/gu-kelly-xiu-2020-internet-appendix.pdf; contemporaneous-summary: https://www.cxoadvisory.com/momentum-investing/buying-on-impulse-change-in-momentum/; coverage-audit: https://www.federalreserve.gov/econres/feds/files/2021-037pap.pdf	paper_direction_supported_by_contemporaneous_summary	The formal formula cross-checks identify adjacent non-overlapping six-month return windows. A contemporaneous summary of Gettleman and Marks (2006) reports that high price acceleration outperforms low price acceleration, supporting H-L. The primary PDF remains unavailable, so the original breakpoints, weighting, and standalone holding period are not treated as verified.
chpmia	Industry-adjusted change in profit margin	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	soliman-2008		Industry-adjusted change in profit margin	chpmia	High	Low	not-simple	H-L	n/a	paper: extracted-text/soliman-2008-publisher.txt:391-399,669-729,837-905,1577-1727; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.chpmia	paper_source_no_simple_lms	Repo attribution: Soliman (2008). Formula table has no entry for this signal.
chtx	Change in tax expense	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	thomas-2011		Change in tax expense	chtx	High	Low	H-L	H-L	yes	paper: 10.1111/j.1475-679X.2011.00409.x#t2; Scholar Gateway chunk 20; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.chtx	paper_direction_verified	Repo attribution: Thomas and Zhang (2011). Formula table direction: +1.
cinvest	Corporate investment	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	titman-2004		Corporate investment	cinvest	Low	High	L-H	L-H	yes	paper: extracted-text/titman-2004-publisher.txt:138-143,188-220,367-375,442-450,746-747; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.cinvest	paper_direction_verified	Repo attribution: Titman, Wei, and Xie (2004). Formula table direction: -1.
convind	Convertible debt indicator	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	valta-2016		Convertible debt indicator	convind	Low	High	not-simple	L-H	n/a	paper: extracted-text/valta-2016-publisher.txt:69-85,108-123,368-619,629-633,743-744,797-848,997-1064; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.convind	paper_source_no_simple_lms	Repo attribution: Valta (2016). Formula table has no entry for this signal.
currat	Current ratio	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	ou-1989		Current ratio	currat	High	Low	not-simple	H-L	n/a	paper: extracted-text/ou-1989.txt:396-470 (Table 2),535-617 (Table 3),665-685 (preset strategy),860-890 (Table 6 notes); papers/ou-1989/ou-1989.pdf; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.currat	paper_source_no_simple_lms	Repo attribution: Ou and Penman (1989). Formula table has no entry for this signal.
depr	Depreciation / PP and E	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	holthausen-1992		Depreciation / PP and E	depr	High	Low	not-simple	H-L	n/a	paper: extracted-text/holthausen-1992-publisher.txt:300-339,524-543,738-792; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.depr	paper_source_no_simple_lms	Repo attribution: Holthausen and Larcker (1992). Formula table direction: +1.
divi	Dividend initiation	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	michaely-1995		Dividend initiation	divi	High	Low	not-simple	H-L	n/a	paper: extracted-text/michaely-1995.txt:207-233,504-535,712-719,1591-1602; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.divi	paper_source_no_simple_lms	Repo attribution: Michaely, Thaler, and Womack (1995). Formula table has no entry for this signal.
