characteristic_id	source_acronym	source_field	name_zh	name_en	category	definition_zh	definition_en	portfolio_role	direction	source_paper	source_url	evidence_pointer	status	notes
age	AGE	age	债券存续年龄	Bond age	合约与信用状态	自发行日起至观测月的年数。	Time since issuance in years.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	逐项匹配共享数据字段；原文未赋予单变量多空方向。
rating	RATING	rating	信用评级	Credit rating	合约与信用状态	债券信用评级的数值编码；数值越大表示信用质量越低。	Numeric bond credit rating; larger values denote lower credit quality.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	原文评级编码从 AAA=1 向低评级递增。
t2m	T2M	time2maturity	剩余期限	Time to maturity	合约与信用状态	观测月至到期日的剩余年数。	Number of years to maturity.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
size	SIZE	size	债券规模	Amount outstanding	合约与信用状态	债券尚未偿付的名义本金规模。	Amount outstanding.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	不得与 Houweling–van Zundert 的发行人总债务规模定义混同。
dur	DUR	duration	久期	Bond duration	合约与信用状态	债券价格对利率变动的久期度量。	Bond duration.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
var5	VAR5	VaR_5%	5% 在险价值	Value-at-risk, 5%	尾部风险与流动性	基于过去三年收益分布估计的 5% 在险价值。	Five-percent value-at-risk over the past three years.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	尾部符号约定须以生成代码为准；当前仅核验文献定义与字段对应。
var10	VAR10	VaR_10%	10% 在险价值	Value-at-risk, 10%	尾部风险与流动性	基于过去三年收益分布估计的 10% 在险价值。	Ten-percent value-at-risk over the past three years.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	尾部符号约定须以生成代码为准；当前仅核验文献定义与字段对应。
liq_bpw	LIQ_BPW	BPW	BPW 流动性	BPW liquidity	尾部风险与流动性	刻画暂时性价格变动的债券流动性指标。	Liquidity measure of transitory price movements.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
liq_roll	LIQ_ROLL	Roll	Roll 流动性	Roll liquidity	尾部风险与流动性	基于价格变动序列协方差的 Roll 流动性指标。	Roll's liquidity measure.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
liq_p_hl	LIQ_P_HL	P_HL	高低价价差估计量	High–low spread estimator	尾部风险与流动性	由高价与低价信息估计的交易成本或价差。	High–low spread estimator.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
liq_p_fht	LIQ_P_FHT	P_FHT	FHT 流动性	FHT liquidity	尾部风险与流动性	基于零收益频率修正的非流动性估计量。	Modified illiquidity measure based on zero returns.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
liq_amihud	LIQ_AMIHUD	Amihud	Amihud 非流动性	Amihud illiquidity	尾部风险与流动性	绝对收益相对于交易量的价格冲击指标。	Amihud liquidity measure.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
liq_std_amihud	LIQ_STD_AMIHUD	std_Amihud	Amihud 日度波动	Dispersion in daily Amihud illiquidity	尾部风险与流动性	日度 Amihud 非流动性在月内的标准差。	Standard deviation of daily Amihud illiquidity.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
liq_tc_iqr	LIQ_TC_IQR	TC_IQR	交易成本四分位距	Transaction-cost interquartile range	尾部风险与流动性	交易成本估计量的四分位距。	Interquartile range of transaction-cost estimates.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
mkt_beta	MKT_BETA	market_beta	债券市场贝塔	Bond-market beta	系统性风险暴露	相对于公司债市场因子的收益贝塔。	Return beta with respect to the corporate-bond market factor.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
def_beta	DEF_BETA	default_beta	违约因子贝塔	Default-factor beta	系统性风险暴露	相对于 DEF 因子的收益贝塔。	Return beta with respect to the DEF factor.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
term_beta	TERM_BETA	term_beta	期限因子贝塔	Term-factor beta	系统性风险暴露	相对于 TERM 因子的收益贝塔。	Return beta with respect to the TERM factor.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
liq_beta	LIQ_BETA	liq_beta	流动性因子贝塔	Illiquidity-factor beta	系统性风险暴露	相对于债券非流动性因子的收益贝塔。	Return beta with respect to the bond illiquidity factor.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
drf_beta	DRF_BETA	drf_beta	下行风险因子贝塔	Downside-risk-factor beta	系统性风险暴露	控制债券市场因子后的下行风险因子贝塔。	Downside-risk beta controlling for the bond-market factor.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	BBW 原始论文已撤稿；该字段仅按后续研究采用的修正因子口径识别。
crf_beta	CRF_BETA	crf_beta	信用风险因子贝塔	Credit-risk-factor beta	系统性风险暴露	控制债券市场因子后的信用风险因子贝塔。	Credit-risk beta controlling for the bond-market factor.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	BBW 原始论文已撤稿；该字段仅按后续研究采用的修正因子口径识别。
lrf_beta	LRF_BETA	lrf_beta	流动性风险因子贝塔	Liquidity-risk-factor beta	系统性风险暴露	控制债券市场因子后的流动性风险因子贝塔。	Liquidity-risk beta controlling for the bond-market factor.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	BBW 原始论文已撤稿；该字段仅按后续研究采用的修正因子口径识别。
vix_beta	VIX_BETA	vix_beta	VIX 创新贝塔	VIX-innovation beta	系统性风险暴露	相对于 VIX 变动或创新的收益贝塔。	Return beta with respect to innovations in the VIX index.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	Chung–Wang–Wu 的单变量结果为高 VIX beta 债券未来收益较低；深度模型中不预设该方向。
unc_beta	UNC_BETA	unc_beta	宏观不确定性贝塔	Macroeconomic-uncertainty beta	系统性风险暴露	相对于宏观不确定性创新的收益贝塔。	Return beta with respect to macroeconomic uncertainty innovations.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
str	STR	1-month_mom	短期反转	Short-term reversal	收益分布与动量	上月债券收益，用于刻画 t−1 的短期反转。	Previous-month bond return, used to measure short-term reversal at t−1.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	字段名含 mom，但文献经济含义是 short-term reversal。
variance	VARIANCE	variance	收益方差	Return variance	收益分布与动量	历史原始债券收益的方差。	Variance of raw bond returns.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
skew	SKEW	skewness	收益偏度	Return skewness	收益分布与动量	历史原始债券收益的偏度。	Skewness of raw bond returns.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
kurt	KURT	kurtosis	收益峰度	Return kurtosis	收益分布与动量	历史原始债券收益的峰度。	Kurtosis of raw bond returns.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
coskew	COSKEW	COSKEW	系统性偏度	Coskewness with the bond market	收益分布与动量	债券收益相对于债券市场收益的协偏度。	Systematic skewness with the bond market.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
iskew	ISKEW	ISKEW	特质偏度	Idiosyncratic skewness	收益分布与动量	因子模型残差收益的偏度。	Skewness of idiosyncratic bond returns.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
liq_range	LIQ_RANGE	Range_daily	日度高低价差	Daily high–low range	尾部风险与流动性	基于日度价格的简单高低价差。	Simple high–low spread using daily prices.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
liq_trade	LIQ_TRADE	trades	成交笔数	Number of trades	尾部风险与流动性	观测月内的有效成交笔数。	Number of valid trades in the month.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
mkt_rvar	MKT_RVAR	market_residual_variance	市场模型残差方差	Market-model residual variance	系统性风险暴露	债券市场因子模型残差的方差。	Residual variance from the bond-market factor model.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
term_def_rvar	TERM_DEF_RVAR	term_default_residual_variance	期限—违约模型残差方差	TERM–DEF residual variance	系统性风险暴露	同时控制 TERM 与 DEF 因子后的残差方差。	Residual variance after controlling for TERM and DEF factors.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
turn	TURN	turnover	债券换手率	Bond turnover	尾部风险与流动性	交易量相对于债券规模的换手率。	Bond turnover.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
ytm	YTM	ytm	到期收益率	Yield to maturity	合约与信用状态	按当前价格与合同现金流计算的到期收益率。	Yield to maturity.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
mom6	MOM6	6-month_mom	中期债券动量（t−2 至 t−6）	Bond momentum, t−2 to t−6	收益分布与动量	观测月前第 2 至第 6 个月的累计债券收益。	Cumulative bond return from t−2 through t−6.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	与 Jostova 等（2013）的六个月形成期定义相近但时点标记须按具体实现核对。
mom12	MOM12	12-month_mom	较长期债券动量（t−7 至 t−12）	Bond momentum, t−7 to t−12	收益分布与动量	观测月前第 7 至第 12 个月的累计债券收益。	Cumulative bond return from t−7 through t−12.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	
ltr	LTR	LTR_mom	长期反转（t−13 至 t−48）	Long-term reversal, t−13 to t−48	收益分布与动量	观测月前第 13 至第 48 个月的累计债券收益。	Cumulative bond return from t−13 through t−48.	深度特征输入	模型决定	Feng, Jiang, Li, Song, and Wang, Deep Tangency Portfolio	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Internet Appendix, Table A1, pp. 1–2	source-matched	Bali–Subrahmanyam–Wen（2021）以低 LTR 减高 LTR 构造反转因子。
