characteristic_id	method_family	method_summary_zh	signal_role_zh	signal_role_en	estimand_zh	estimand_en	interpretation_zh
abr	sorted_portfolio_comparison	每月按公告期累计异常收益（ABR）形成十分位组合，组内等权，并考察形成后六个月及更长期限的买入并持有收益。	组合排序变量	Portfolio sorting variable	各ABR十分位组合的形成后收益	Post-formation returns of ABR decile portfolios	论文报告分组收益及高低端比较，但未将ABR定义为独立的零成本两端组合。
adm	sorted_portfolio_comparison	每年按广告费用与市值之比形成五个等规模组合，并将无广告费用企业单列；结果变量为买入并持有收益及相对规模—账面市值比匹配组合的超额收益。	组合排序变量	Portfolio sorting variable	广告强度组合的原始收益与匹配调整收益	Raw and matched-control returns of advertising-intensity portfolios	论文报告分组收益及端点比较，但未将广告强度定义为独立的零成本两端组合。
alm	implied_cost_of_capital	将潜在收购方的缺失或财务余裕以及行业并购活跃度构造成实体资产非流动性度量，标准化后用于隐含资本成本回归，并辅以年度五分位比较。	标准化解释变量	Standardized explanatory variable	隐含资本成本的横截面差异	Cross-sectional variation in implied cost of capital	被解释变量是预期资本成本而非实现股票收益，因而不能解释为可交易的H−L或L−H组合。
ato	cross_sectional_return_regression	将资产周转率水平作为DuPont分解项和控制变量，以年度十分位秩进入未来一年市场调整收益回归；主要预测结果来自资产周转率的变动而非其水平。	解释变量与控制变量	Explanatory and control variable	未来一年市场调整收益	One-year-ahead market-adjusted return	识别对象是条件回归系数而非两端组合收益；系数符号不直接定义可交易的H−L或L−H组合。
beta	beta_pricing_test	先按个股β估计值形成20个组合以缓解变量测量误差，再在独立窗口重新估计组合β，并在后续检验期实施逐月横截面风险—收益回归。	系统性风险暴露	Systematic risk exposure	β的风险价格与横截面期望收益斜率	Price of beta risk and the cross-sectional expected-return slope	论文检验的是β的定价斜率，而不是高β组合减低β组合的实现收益。
bm	model_weighted_zero_investment	构造账面市值比纯对冲组合：总权重及55个行业内权重均为零，对11项风险指数与反转策略正交，并在给定账面市值比暴露下最小化组合方差。	目标特征暴露	Target characteristic exposure	受约束零投资组合的收益	Return on a constrained zero-investment portfolio	该组合虽为零投资，但权重由约束优化确定，不能等同于分位数排序形成的简单H−L组合。
cashdebt	multivariate_prediction_model	现金流量与债务之比作为候选会计变量进入逐步Logit模型，用于估计下一年度盈利增加的概率Pr；投资组合按Pr阈值形成，而非按该比率单独排序。	多变量模型的候选解释变量	Candidate predictor in a multivariate model	下一年度盈利增加的预测概率Pr	Predicted probability Pr of a one-year-ahead earnings increase	该变量仅是综合预测模型的输入；论文交易对象是预测概率Pr，而不是该变量的单变量多空组合。
chatoia	cross_sectional_return_regression	论文按未经行业调整的资产周转率变动形成年度十分位秩，并在未来收益回归中估计从最低到最高十分位的预测差异；该度量并非项目采用的行业调整版本。	最接近的文献解释变量	Closest source-paper predictor	未来一年异常收益	One-year-ahead abnormal return	识别对象是未经行业调整变量的回归预测差异，既非独立零成本组合，也不与项目特征完全相同。
chcsho	cross_sectional_return_regression	将拆股调整后流通股数的年度对数变动置于逐月Fama–MacBeth预测回归，并分别考察一个月至三年的未来持有期收益。	横截面预测变量	Cross-sectional predictor	不同期限的未来股票收益	Future stock returns over several horizons	方向反映横截面回归中的条件预测关系，不等同于可交易的两端组合收益。
chpmia	cross_sectional_return_regression	论文以未经行业调整的利润率变动十分位秩进入未来一年收益回归，但未构造项目采用的行业调整利润率变动。	最接近的文献解释变量	Closest source-paper predictor	未来一年市场调整收益	One-year-ahead market-adjusted return	回归检验使用的变量与项目特征并不完全相同，且论文没有定义相应的独立多空组合。
