method_id	method_short_name	authors_year	title	outlet_status	method_family	signal_scope	formation_timing	portfolio_formation	weighting	rebalancing_holding	long_short_convention	excess_return_definition	optimization_target	source_url	evidence_pointer	caution_zh	caution_en
jostova_momentum	债券动量十等分	Jostova, Nikolova, Philipov, and Stahel (2013)	Momentum in Corporate Bond Returns	Review of Financial Studies 26, 1649–1693	单变量分组	过去债券收益	以 t−6 至 t−1 的累计收益形成排序，跳过 t 月	每月按形成期收益分为十组 P1 至 P10	组内等权	每月形成；持有 t+1 至 t+6 六个月；六个重叠批次等权平均	W−L = P10 − P1，即过去赢家减过去输家	单债券总收益含价格、应计利息与票息；零成本 W−L 中共同无风险利率抵消	不适用	https://doi.org/10.1093/rfs/hht022	Section II and Equation (1); FDIC working-paper pp. 11 and 14–15	收益集中于低评级债券；交易型样本中连续六个月收益要求会偏向较高流动性债券。	Profits are concentrated among low-rated bonds; requiring six consecutive return observations tilts trade-based samples toward more liquid bonds.
bali_ltr_univariate	LTR 单变量组合	Bali, Subrahmanyam, and Wen (2021)	Long-Term Reversals in the Corporate Bond Market	Journal of Financial Economics 139, 656–677	单变量分组	长期累计债券收益	LTR 为 t−48 至 t−13 的 36 个月累计收益，跳过 t−12 至 t−2 的动量期与 t−1 的短期反转月	每月形成五分位组合；Q1 为长期输家，Q5 为长期赢家	按未偿付金额价值加权	每月再平衡；主检验为下一月收益	L−H = Q1 − Q5，即低 LTR 减高 LTR	组合超额收益相对一个月国库券；零成本 L−H 中共同无风险利率抵消	不适用	https://faculty.georgetown.edu/qw50/LTR.pdf	Sections 2.5 and 3.1, pp. 8–9	必须纳入违约月收益，否则长期输家组合的收益会被系统性高估。	Default-month returns must be retained; otherwise returns to the long-term-loser portfolio are upward biased.
bali_ltr_factor	LTRBond 条件排序因子	Bali, Subrahmanyam, and Wen (2021)	Long-Term Reversals in the Corporate Bond Market	Journal of Financial Economics 139, 656–677	多重条件分组	评级、剩余期限与 LTR	每月使用当期评级、剩余期限及 t−48 至 t−13 的 LTR	先按评级三分组；组内按期限三分组；再按 LTR 三分组，形成 3×3×3 条件组合	各终端组合按未偿付金额价值加权	每月再平衡	LTRBond 为九个评级—期限单元内“最低 LTR 减最高 LTR”的价值加权平均	组合超额收益相对一个月国库券；共同无风险利率在多空差中抵消	不适用	https://faculty.georgetown.edu/qw50/LTR.pdf	Section 4.1, p. 19	这是控制评级与期限后的反转因子，不应与简单 Q1−Q5 组合混为同一算法。	This conditional 3×3×3 factor controls for rating and maturity and is not the same algorithm as the univariate Q1−Q5 spread.
houweling_factors	债券风格因子	Houweling and van Zundert (2017)	Factor Investing in the Corporate Bond Market	Financial Analysts Journal 73, 100–115	单变量与复合定义分组	规模、低风险、价值、动量	每月按可得的债券特征排序；动量使用过去六个月收益并设一个月实施滞后	分别在投资级与高收益债券中取最高与最低 10%；价值先以评级虚拟变量、期限和三个月利差变化回归信用利差，再按实际相对拟合利差的百分比偏离排序	基准为组内等权；价值加权为稳健性检验	多空组合持有一个月；另构造持有 12 个月的重叠式多头组合	Top decile − bottom decile；规模的 top 为小发行人，低风险的 top 为高评级短久期，价值的 top 为较高相对利差，动量的 top 为过去赢家	单债券收益减持续期匹配国债收益	四个多头因子各配 25% 形成等权复合组合	https://doi.org/10.2469/faj.v73.n2.1	Data and Methodology; pp. 102–106	论文明确指出公司债做空困难且成本较高；多空结果是因子检验，12 个月重叠多头组合更接近可实施策略。	The paper explicitly notes that corporate-bond shorting is difficult and costly; long–short portfolios are factor tests, while overlapping 12-month long-only portfolios are closer to implementation.
chung_volatility	波动风险十等分	Chung, Wang, and Wu (2019)	Volatility and the Cross-Section of Corporate Bond Returns	Journal of Financial Economics 133, 397–417	单变量与双变量分组	VIX beta、债券特质波动、股票特质波动	VIX beta 由时序回归估计；债券特质波动使用过去六个月收益	每月按目标变量分为十组；稳健性检验先按控制变量五分组，再在组内按目标变量五分组	组合收益价值加权	每月再平衡；考察下一月收益	高减低；VIX beta 的 H−L 为负，债券特质波动的 H−L 为正，股票特质波动的 H−L 为负	单债券收益减一个月国库券收益	不适用	https://doi.org/10.1016/j.jfineco.2019.02.002	Portfolio analysis in Sections 3 and 4	同一论文包含三种经济含义不同、方向也不同的波动指标，不能合并为一个“volatility”信号。	The paper studies three economically distinct volatility measures with different signs; they must not be collapsed into one generic volatility signal.
fama_french_term_def	TERM 与 DEF	Fama and French (1993)	Common Risk Factors in the Returns on Stocks and Bonds	Journal of Financial Economics 33, 3–56	基准因子构造	长期政府债与长期公司债组合	月度市场组合收益，无单债券形成期排序	TERM 为长期政府债组合；DEF 为长期公司债市场组合相对长期政府债组合的收益差	原始市场组合按数据供应商方法构造	月度	TERM = R(long government) − Rf；DEF = R(long corporate) − R(long government)	TERM 以一个月国库券为无风险基准；DEF 使用长期政府债作久期方向更接近的基准	不适用	https://doi.org/10.1016/0304-405X(93)90023-5	Section 2.1.1	TERM 与 DEF 是时序共同因子，不是对 41 个债券特征逐项排序所得的横截面异象。	TERM and DEF are time-series common factors, not cross-sectional anomaly portfolios formed separately on the 41 bond characteristics.
kelly_ipca	五因子 IPCA	Kelly, Palhares, and Pruitt (2023)	Modeling Corporate Bond Returns	Journal of Finance 78, 1967–2008	条件因子模型	多维债券与发行人特征	特征在 t 时点工具化下一期因子载荷；论文采用样本外评估	以 IPCA 联合估计潜在因子 F 与特征到时变载荷的映射 Γβ；特征管理组合是估计对象而非独立 H−L 信号	模型隐含权重	按论文的递增窗口进行样本外更新	不是单一高减低；投资组合由五个潜在因子及其估计条件载荷决定	使用论文 ICE 公司债超额收益口径；复现时必须沿用配套数据文档	由五个潜在因子构造系统性债券投资组合，并以样本外 Sharpe ratio 评价	https://doi.org/10.1111/jofi.13233	Model specification and out-of-sample portfolio analysis	IPCA 的 30 个特征管理组合用于估计与检验；把每个输入特征直接解释成确定方向的可交易因子是不正确的。	The 30 characteristic-managed portfolios enter estimation and testing; interpreting each input characteristic as a separately signed tradable factor is incorrect.
deep_linear	深度特征线性权重	Feng, Jiang, Li, Song, and Wang (2026)	Deep Tangency Portfolio	Management Science, forthcoming; SSRN revision 28 June 2026	非线性特征压缩与线性组合	41 个债券特征；完整模型另含股票与期权特征	t−1 特征按月横截面排序至 [−1,1]、横截面均值为零，缺失值置零	tanh 神经网络将多维特征压缩为单一深度特征 Z(L)	Wi,t−1 = a Z(L)i,t−1 / N	月度形成；t−1 特征对应 t 收益	连续零成本权重；权重和为零	债券总收益减一个月国库券收益；深度因子为 W′r	最大化基准因子与深度因子联合切点组合的平方 Sharpe ratio，并施加 L1/L2 正则化	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Equations (12)–(16) and (19)–(21)	41 个债券特征是模型输入；其边际方向由网络与联合目标决定，不存在 41 个预先指定的 H−L。	The 41 bond characteristics are model inputs; their marginal signs are jointly learned and are not 41 prespecified H−L portfolios.
deep_softmax	深度特征 Softmax 多空	Feng, Jiang, Li, Song, and Wang (2026)	Deep Tangency Portfolio	Management Science, forthcoming; SSRN revision 28 June 2026	非线性特征压缩与非线性排序	41 个债券特征；完整模型另含股票与期权特征	t−1 特征按月横截面排序至 [−1,1]、横截面均值为零，缺失值置零	tanh 网络生成深度特征；对多头与空头分别应用对称 softmax；a1=50、a2=8，使约 50%–70% 的中间债券权重接近零	多头权重归一至 +1，空头权重归一至 −1	月度形成；t−1 特征对应 t 收益	连续零成本多空；ΣW=0，Rd,t=W′t−1rt	债券总收益减一个月国库券收益	最大化基准因子与深度因子联合切点组合的平方 Sharpe ratio，并施加 L1/L2 正则化	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Equations (17)–(21)	Softmax 权重依赖横截面排序与特征分布，不等同于固定分位点的等权 H−L。	Softmax weights depend on both cross-sectional ranks and the characteristic distribution; they are not a fixed-breakpoint equal-weight H−L portfolio.
deep_top_bottom_30	深度特征 30/30 排序	Feng, Jiang, Li, Song, and Wang (2026)	Deep Tangency Portfolio	Management Science, forthcoming; SSRN revision 28 June 2026	深度复合评分分组	神经网络生成的单一深度特征	t−1 深度特征对应 t 收益	按深度特征做多最高 30%，做空最低 30%	两端组内等权并标准化为零成本	月度形成	Top 30% − bottom 30%	债券总收益减一个月国库券收益	作为 Softmax 非线性排序的对照，随后与基准因子形成切点组合	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3971274	Section 4.5.2 in the 2023 working-paper version	这是深度复合特征的排序，不是对任一原始债券特征单独排序。	This is a sort on the learned deep composite characteristic, not a univariate sort on any raw bond characteristic.
