paper_id	characteristic_id	raw_signal	construction_summary	sample_and_timing	breakpoints	weighting	rebalancing_frequency	holding_period	long_leg	short_leg	paper_lms_direction	evidence_pointer	evidence_type	confidence	reviewer_notes
eberhart-2004	rd	R&D increase	Select firms with an unexpected R&D increase; the direct passage describes an R&D/asset-ratio increase screen plus four >=5% filters and a sample-firm versus matched-firm return test.	Post-increase abnormal returns are tracked for 60 months.	One sample-firm versus matched-firm screen; no quantile breakpoint table in the cited passage.	N/A	Event-driven.	60 months.	Sample-firm stocks.	Matched-firm stocks.	not-simple	doi:10.1111/j.1540-6261.2004.00644.x; scholar:10.1111/j.1540-6261.2004.00644.x_0015 (Methods/Table II)	direct_method_passage	high	The original design compares selected event firms with matched firms; it is not a characteristic-sorted high-minus-low or low-minus-high factor.
fairfield-2003	grltnoa	GrNOA = net operating assets at fiscal year t divided by net operating assets at fiscal year t-1	The published article studies how accruals and cash flows relate to growth in net operating assets and future operating profitability. It forms annual GrNOA-ranked deciles for accounting regressions, but does not define a realized-return long-short portfolio for grltnoa.	Compustat observations with December fiscal year-ends from 1963-2001; annual accounting regressions and GrNOA-ranked subsamples.	Annual deciles ranked by growth in net operating assets for regression analysis.	N/A; no return portfolio.	Annual.	N/A; accounting persistence tests.	N/A	N/A	N/A	extracted-text/fairfield-2003-publisher.txt:75-93,240-298,449-468,844-917	publisher_final_pdf	high	Verified against the formal Review of Accounting Studies publisher PDF. The source paper supports an accounting GrNOA construct but no paper-reported realized-return L/S direction.
fama-1973	beta	estimated market beta, cov(Ri,Rm) / var(Rm), using Fisher's equally weighted NYSE return index	The published article forms 20 portfolios from ranked individual-security beta estimates to reduce errors in variables, re-estimates portfolio betas in a subsequent window, and runs monthly cross-sectional risk-return regressions in later test periods. It does not define a high-minus-low beta trading spread.	Nine predictive formation/estimation/test sequences spanning 1926-June 1968; typically seven formation years, five initial estimation years, and four test years.	Twenty beta-ranked portfolios with approximately equal security counts; first is lowest beta and last is highest beta.	Equal-weighted individual-security returns within each portfolio each month.	Portfolios are reformed at four-year test-period intervals; component betas update annually and portfolio betas update monthly for delistings.	Monthly returns during each subsequent test window.	N/A	N/A	not-simple	extracted-text/fama-1973-publisher.txt:465-575,593-635,650-735	publisher_final_jstor_pdf	high	Verified against the final Journal of Political Economy/JSTOR PDF. The original 1973 source establishes predictive beta-ranked portfolio regressions but no explicit long-high or long-low hedge, so a repository LMS direction cannot be attributed to the paper.
fama-2015	op	Operating profitability (OP)	At each June formation, independently sort stocks into two size groups and three OP groups; construct six value-weighted intersections. RMW is the average return on the small and big robust-profitability portfolios minus the average return on the small and big weak-profitability portfolios.	July 1963-December 2013; accounting data for the fiscal year ending in t-1 are used at the end of June in year t, with monthly factor returns thereafter.	NYSE median market cap; 30th and 70th NYSE percentiles for OP.	Value-weighted intersection portfolios; the RMW factor equally averages the small and big robust legs and subtracts the corresponding weak legs.	Annual June reconstitution.	12 months, measured monthly from July through the following June.	Robust/high OP: (SR + BR) / 2.	Weak/low OP: (SW + BW) / 2.	H-L	extracted-text/fama-2015.txt:338-375 (Section 4 and Table 3); papers/fama-2015/fama-2015-authoritative-fulltext.html	publisher_full_text_cityu	high	Original publisher full text explicitly defines RMW as robust minus weak and gives the 2x3 breakpoints, value weighting, and component formula.
francis-2004	roavol	EarnVar = rolling ten-year standard deviation of net income before extraordinary items scaled by beginning-of-year total assets	The published article measures earnings variability annually, converts EarnVar to decile ranks, and relates the most-versus-least-variable earnings deciles to implied cost of equity. This is a cost-of-capital comparison and regression sensitivity test, not a realized-return long/short portfolio.	Full sample covers 1975-2001; each firm-year EarnVar uses a rolling ten-year window.	Annual decile ranks of EarnVar; paper reports most-variable versus least-variable earnings deciles.	N/A; reported outcomes are implied cost-of-equity differences/regression coefficients, not portfolio returns.	annual	N/A; cross-sectional expected cost-of-equity analysis.	No traded long leg; the paper reports the most-variable-minus-least-variable cost-of-equity difference.	No traded short leg.	not-simple	extracted-text/francis-2004-publisher.txt:511-516,1831-1875; papers/francis-2004/francis-2004-publisher.pdf:p.998	publisher_final_jstor_pdf	high	Verified against the final Accounting Review/JSTOR PDF. Larger EarnVar means more volatile earnings and the paper reports a 382 bp unconditional high-minus-low cost-of-equity difference, but this does not establish the repository's realized-return L-H strategy.
gettleman-2006	chmom	change in 6-month momentum	Cumulative return from months t-6 through t-1 minus cumulative return from months t-12 through t-7.	Monthly CRSP signal; the contemporaneous summary reports an original 1926–2003 sample.	Extreme high- and low-acceleration portfolios are reported; the exact source-paper cutoffs have not been recovered.	Not recovered from the accessible source material.	Monthly signal formation; the source-paper portfolio rebalancing rule has not been verified.	The contemporaneous summary reports a six-month horizon for acceleration-refined momentum; the standalone acceleration-spread holding period is not verified.	Stocks with high change in six-month momentum (high price acceleration).	Stocks with low change in six-month momentum (low price acceleration).	H-L	paper: extracted-text/fallahgoul-2024-supplement.txt:4540-4546@supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf; extracted-text/gu-2020-internet-appendix.txt:2158-2163@supporting-information/gu-2020/gu-kelly-xiu-2020-internet-appendix.pdf; original-record: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=802724; contemporaneous-summary: https://www.cxoadvisory.com/momentum-investing/buying-on-impulse-change-in-momentum/	formal_formula_crosscheck_and_contemporaneous_direction_summary	medium	Published formula tables verify CHMOM = compound(t−6,t−1) − compound(t−12,t−7). A contemporaneous paper summary reports positive high-minus-low acceleration spreads. CIZ explicitly omits the unpublished Gettleman–Marks signal, HXZ has no identical entry, and JKP lists the two return-window components separately. Direction is therefore H-L, while exact source-paper breakpoints, weights, and the standalone holding rule remain pending.
guo-2006	rd_sale	RD_SALES = pre-IPO annual R&D expenditures / pre-IPO annual sales	The published article classifies IPOs into no-R&D, low-R&D, and high-R&D groups using each issue year's median positive RD_SALES and explicitly forms a zero-investment portfolio long high-R&D IPOs and short no-R&D IPOs.	2,696 U.S. IPOs issued during 1980-1995; portfolio returns run from the 7th through the 42nd month after each IPO, over April 1981-December 1998.	Within each IPO year, positive-R&D firms are split below/above that year's median RD_SALES; zero-R&D firms form a separate group.	Equal-weighted calendar-month portfolio returns.	monthly	Months 7-42 after the offering; constituents enter and leave with IPO age.	high-R&D IPO group	no-R&D IPO group	H-L	extracted-text/guo-2006-publisher.txt:252-310,369-377,474-480,1157-1192,1265-1357	publisher_final_pdf_cityu	high	Verified against the final Journal of Business Finance & Accounting/Wiley PDF. Table 8 explicitly defines the monthly rebalanced high-R&D-minus-no-R&D zero-investment portfolio; its four-factor alpha is 0.76% per month.
hafzalla-2011	pctacc	(Net Income - Cash from Operations) / |Net Income|	The published article scales operating accruals by absolute net income to preserve the accrual sign, sorts firms into ten portfolios using prior-year decile breakpoints, and reports the hedge as decile 1 minus decile 10.	Nonfinancial Compustat/CRSP firm-years spanning 1989-2008; returns start on the first day of the fourth month after fiscal year-end.	Prior-year decile breakpoints; ten portfolios; Table 4 reports decile 1 through 10 and decile 1 minus decile 10.	Not explicitly stated for the accrual decile portfolios; excess returns use equally weighted size-reference portfolios.	Annual.	One year.	Lowest percent operating accrual decile, including large negative percent accruals.	Highest percent operating accrual decile, including positive/high percent accruals.	L-H	extracted-text/hafzalla-2011-publisher.txt:19-24,109-111,219-230,298,323-325,573-575,664-685	publisher_final_pdf	high	Verified against the formal The Accounting Review publisher PDF; signal scaling, timing, deciles, and decile-1-minus-decile-10 direction are explicit.
heston-2008	seas1a	Past same-calendar-month return at the 12-month annual lag	The published article ranks stocks each month by past performance; its one-year annual strategy sorts on the return exactly 12 months earlier and explicitly buys winners and sells losers.	January 1965-December 2002 monthly returns for NYSE- and AMEX-listed stocks.	Ten portfolios with equal numbers of stocks; seas1a sorts on the 12-month lagged return.	Equal-weighted portfolios.	Monthly.	Next month.	Highest past same-calendar-month return decile / winners.	Lowest past same-calendar-month return decile / losers.	H-L	extracted-text/heston-2008-publisher.txt:15,30-32,287-291,650-657	publisher_full_text	high	Verified against the formal Journal of Financial Economics publisher full text; the 12-month winner-minus-loser direction is explicit.
hirshleifer-2004	noa	scaled net operating assets = (operating assets - operating liabilities) / lagged total assets	The published article computes NOA from operating assets minus operating liabilities scaled by lagged total assets; firms are assigned monthly to NOA deciles using prior fiscal-year NOA with at least a four-month lag, and the hedge portfolio is long the lowest NOA decile and short the highest NOA decile.	Monthly portfolio formation July 1964-December 2002 using previous fiscal-year NOA; minimum four-month lag between fiscal year-end and portfolio formation/return matching.	NOA deciles.	Monthly equal-weighted abnormal return within decile; value-weighted variant also reported; benchmark adjustment uses size/book-to-market/momentum matched portfolios.	Monthly.	Monthly returns; paper reports annual abnormal returns by summing monthly returns and first/second/third-year effects after release.	lowest NOA decile	highest NOA decile	L-H	extracted-text/hirshleifer-2004-publisher.txt:32-42,74,280-282,742-744,993-1005	publisher_full_text	high	Verified against the formal Journal of Accounting and Economics publisher full text; formula, timing, deciles, weighting, and low-minus-high hedge are explicit.
