paper_id	characteristic_id	raw_signal	construction_summary	sample_and_timing	breakpoints	weighting	rebalancing_frequency	holding_period	long_leg	short_leg	paper_lms_direction	evidence_pointer	evidence_type	confidence	reviewer_notes
abarbanell-1998	pchcapx_ia	industry-adjusted % change in capital expenditures	CAPX is one of the fundamental signals used in the strategy; the paper links it to capital expenditures relative to the industry benchmark and uses annual zero-investment portfolios.	Sample 1974-1988 for the main strategy and 1989-1993 for the holdout period; signals are formed from annual accounting data.	Annual decile ranks of the signal, beta, and earnings-change controls.	OLS-derived zero-investment weights on [1, RSIGNAL, RBETA, RCEPS].	Annual.	12 months.	Low CAPX / lower industry-adjusted capital expenditures.	High CAPX / higher industry-adjusted capital expenditures.	not-simple	doi:10.2139/ssrn.40740; paperzz:L43-L57; paperzz:L225-L248; paperzz:L314-L323; paperzz:L337-L409	public_html	high	The source uses OLS-derived zero-investment weights rather than a simple low-minus-high spread; the leg sign is therefore not promoted to a simple LMS direction.
abarbanell-1998	pchgm_pchsale	% change in gross margin - % change in sales	The gross-margin signal is defined as an increase or decrease in the percentage change in gross margin relative to sales; improvements imply better expected operating performance.	Sample 1974-1988 for the main strategy and 1989-1993 for the holdout period; signals are formed from annual accounting data.	Annual decile ranks of the signal, beta, and earnings-change controls.	OLS-derived zero-investment weights on [1, RSIGNAL, RBETA, RCEPS].	Annual.	12 months.	High gross-margin growth / higher gross margin relative to sales.	Low gross-margin growth / lower gross margin relative to sales.	not-simple	doi:10.2139/ssrn.40740; paperzz:L43-L57; paperzz:L231-L235; paperzz:L337-L409	public_html	high	The source uses OLS-derived zero-investment weights rather than a simple high-minus-low spread; the leg sign is therefore not promoted to a simple LMS direction.
abarbanell-1998	pchsale_pchinvt	% change in sales - % change in inventory	The inventory signal is the percentage difference between sales and its expected value less an analogous measure for inventory; faster inventory growth than sales is bad news.	Sample 1974-1988 for the main strategy and 1989-1993 for the holdout period; signals are formed from annual accounting data.	Annual decile ranks of the signal, beta, and earnings-change controls.	OLS-derived zero-investment weights on [1, RSIGNAL, RBETA, RCEPS].	Annual.	12 months.	Higher sales growth relative to inventory growth.	Lower sales growth relative to inventory growth.	not-simple	doi:10.2139/ssrn.40740; paperzz:L43-L57; paperzz:L231-L233; paperzz:L337-L409	public_html	high	The source uses OLS-derived zero-investment weights rather than a simple high-minus-low spread; the leg sign is therefore not promoted to a simple LMS direction.
abarbanell-1998	pchsale_pchrect	% change in sales - % change in accounts receivable	The AR signal is the change in accounts receivable relative to the change in sales; the paper treats an AR expansion faster than sales as a warning sign.	Sample 1974-1988 for the main strategy and 1989-1993 for the holdout period; signals are formed from annual accounting data.	Annual decile ranks of the signal, beta, and earnings-change controls.	OLS-derived zero-investment weights on [1, RSIGNAL, RBETA, RCEPS].	Annual.	12 months.	Higher sales growth relative to receivables growth.	Lower sales growth relative to receivables growth.	not-simple	doi:10.2139/ssrn.40740; paperzz:L43-L57; paperzz:L244-L248; paperzz:L337-L409	public_html	high	The source uses OLS-derived zero-investment weights rather than a simple high-minus-low spread; the leg sign is therefore not promoted to a simple LMS direction.
abarbanell-1998	pchsale_pchxsga	% change in sales - % change in SG&A	The S&A signal is increases or decreases in selling and administrative expenses relative to the percentage change in sales.	Sample 1974-1988 for the main strategy and 1989-1993 for the holdout period; signals are formed from annual accounting data.	Annual decile ranks of the signal, beta, and earnings-change controls.	OLS-derived zero-investment weights on [1, RSIGNAL, RBETA, RCEPS].	Annual.	12 months.	Higher sales growth relative to SG&A growth.	Lower sales growth relative to SG&A growth.	not-simple	doi:10.2139/ssrn.40740; paperzz:L43-L57; paperzz:L317-L323; paperzz:L337-L409	public_html	high	The source uses OLS-derived zero-investment weights rather than a simple high-minus-low spread; the leg sign is therefore not promoted to a simple LMS direction.
almeida-2007	tang	asset tangibility / pledgeable assets	The published paper studies corporate investment-cash-flow sensitivities rather than stock-return portfolios. Its main firm-level liquidation-value proxy is 0.715 × receivables + 0.547 × inventory + 0.535 × capital, with cash added and the total scaled by lagged assets; alternative industry-liquidity and asset-durability measures are also tested.	COMPUSTAT manufacturing firms (SIC 2000-3999), 1985-2000; variables enter annual investment regressions in lagged form.	Regression and sample-split tests; descriptive low/high tangibility groups use the bottom/top three annual deciles, but they are not return portfolios.	Regression analysis; no stock-portfolio weights.	Annual firm-year tests.	N/A	N/A	N/A	not-simple	extracted-text/almeida-2007-publisher.txt:390-430,633-708,927-950,1136-1179	extracted_text	high	The published RFS article gives the accounting formula and sample design, but it does not define a tang stock-return long-short strategy. Low/high tangibility groups support corporate-investment tests only.
amihud-1989	baspread	bid-ask percentage spread	Form 49 equal portfolios in a 7-by-7 sort on bid-ask spread and beta; spread is estimated from the year just preceding the test year and portfolio excess returns are then measured.	Beta is estimated over the prior 60 months; bid-ask spread is measured from the data in the year just preceding year n; the portfolio returns are reported for 1961-1980.	7 spread groups x 7 beta groups; the cited passage does not report numeric cutpoints.	Equal portfolios / equal-weighted portfolio excess returns.	Annual.	One year.	Higher-spread portfolio / no explicit long leg stated in the passage.	Lower-spread portfolio / no explicit short leg stated in the passage.	N/A	doi:10.1111/j.1540-6261.1989.tb05067.x; scholar:10.1111/j.1540-6261.1989.tb05067.x_0003 (Section I); scholar:10.1111/j.1540-6261.1989.tb05067.x_0004 (Table I)	direct_method_passage	high	Direct construction text supports the 7x7 sort, prior-window beta estimation, and annual spread measurement; the paper does not state an explicit long-short hedge in the cited passage.
amihud-2002	ill	ILLIQ = average daily absolute return divided by dollar volume	The illiquidity measure is the daily ratio of absolute stock return to dollar volume, averaged over some period; higher illiquidity predicts higher expected returns.	Daily stock data; the abstract frames both cross-sectional and time-series tests rather than a single traded portfolio.	Daily ratio averaged over a period; no numeric cutoffs reported in the abstract.	Regression-based and time-series tests; no portfolio weights reported in the abstract.	N/A	N/A	Higher illiquidity / higher average |return| per dollar volume.	Lower illiquidity / lower average |return| per dollar volume.	N/A	doi:10.1016/S1386-4181(01)00024-6; sciencedirect:abstract	public_html	high	Abstract-level support is strong for the ILLIQ definition; the paper does not describe a simple hedge recipe in the abstract.
anderson-2006	grcapx	capital investment growth (cegth2 = (capexp_t-1 - capexp_t-3) / capexp_t-3)	At the end of June each year, sort stocks into five quintiles on capital investment growth from fiscal year t-3 to t-1, then compute monthly returns from July of year t to June of year t+1.	Sample period is 1976-1999 with 36 months of return history before inclusion; the key growth proxy is measured from fiscal year t-3 to t-1.	Five quintiles; no numeric breakpoint cutoffs are stated in the cited passage.	Value-weighted in panels C/E; Fama-French methodology is used.	Annual formation at end of June; monthly return measurement thereafter.	12 months.	Highest capital investment growth quintile / no explicit long leg stated in the passage.	Lowest capital investment growth quintile / no explicit short leg stated in the passage.	N/A	doi:10.1111/j.1540-6261.2006.00833.x; scholar:10.1111/j.1540-6261.2006.00833.x_0007 (Section II); scholar:10.1111/j.1540-6261.2006.00833.x_0019 (Section III)	direct_method_passage	high	Direct construction text supports the cegth2 proxy, annual quintile sorts, July-to-June return window, and the value-weighted portfolio panels.
asness-2000	bm_ia	industry-adjusted book-to-market	Book-to-market minus the industry mean of book-to-market.	Annual Compustat and CRSP data; the later formal appendix records annual frequency.	Industry demeaning; no standalone portfolio cutoffs are reported in the formal cross-check.	Not reported.	Annual.	Not reported.	Higher industry-adjusted book-to-market exposure.	Lower industry-adjusted book-to-market exposure.	N/A	extracted-text/fallahgoul-2024-supplement.txt:4435-4441@supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf; extracted-text/gu-2020-internet-appendix.txt:2088-2093@supporting-information/gu-2020/gu-kelly-xiu-2020-internet-appendix.pdf	formal_published_si_crosscheck	medium	Two formal journal supplements confirm the exact definition, annual frequency, and that the original Asness-Porter-Stevens source is a working paper. No published standalone H-L portfolio recipe was found, so direction is not promoted from the code sign.
asness-2000	cfp_ia	industry-adjusted cash flow-to-price ratio	Cash-flow-to-price ratio minus its industry mean.	Annual Compustat data; the later formal appendix records annual frequency.	Industry demeaning; no standalone portfolio cutoffs are reported in the formal cross-check.	Not reported.	Annual.	Not reported.	Higher industry-adjusted cash-flow-to-price exposure.	Lower industry-adjusted cash-flow-to-price exposure.	N/A	extracted-text/fallahgoul-2024-supplement.txt:4485-4491@supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf; extracted-text/gu-2020-internet-appendix.txt:2123-2128@supporting-information/gu-2020/gu-kelly-xiu-2020-internet-appendix.pdf	formal_published_si_crosscheck	medium	Two formal journal supplements confirm the exact definition, annual frequency, and working-paper provenance. No published standalone H-L portfolio recipe was found.
asness-2000	chempia	industry-adjusted change in employees	Change in employees minus the industry mean of employee change.	Annual Compustat data; the later formal appendix records annual frequency.	Industry demeaning; no standalone portfolio cutoffs are reported in the formal cross-check.	Not reported.	Annual.	Not reported.	Lower industry-adjusted employee growth, following the repository sign only.	Higher industry-adjusted employee growth, following the repository sign only.	N/A	extracted-text/fallahgoul-2024-supplement.txt:4522-4528@supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf; extracted-text/gu-2020-internet-appendix.txt:2144-2149@supporting-information/gu-2020/gu-kelly-xiu-2020-internet-appendix.pdf	formal_published_si_crosscheck	medium	The exact definition and annual frequency are confirmed. Gu et al. list Asness-Porter-Stevens as a 1994 working paper, while the repository groups it under 2000; this year mismatch and the absence of a published standalone spread keep confidence at medium.
asness-2000	me_ia	industry-adjusted size	Fiscal-year-end market capitalization minus its industry mean; later literature calls the variable mve_ia.	Annual Compustat data; the later formal appendix records annual frequency.	Industry demeaning; no standalone portfolio cutoffs are reported in the formal cross-check.	Not reported.	Annual.	Not reported.	Lower industry-adjusted size, following the repository sign only.	Higher industry-adjusted size, following the repository sign only.	N/A	extracted-text/fallahgoul-2024-supplement.txt:4793-4799@supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf; extracted-text/gu-2020-internet-appendix.txt:2398-2405@supporting-information/gu-2020/gu-kelly-xiu-2020-internet-appendix.pdf	formal_published_si_crosscheck	medium	The exact definition, annual frequency, and working-paper provenance are confirmed. The repository acronym me_ia corresponds to mve_ia in the formal supplements; no published standalone L-H portfolio recipe was found.
balakrishnan-2010	roa	Quarterly earnings scaled by beginning-of-quarter total assets	Each fiscal quarter, rank firm-quarter observations into ten earnings deciles using prior-quarter distribution cutoffs. Earnings are before extraordinary items and discontinued operations divided by beginning-of-quarter assets; compute post-announcement buy-and-hold abnormal returns and the High Profit minus High Loss hedge.	458,693 firm-quarters over 1976-2005; day 0 is the quarterly earnings announcement date.	Quarterly deciles; cutoffs in quarter q use the earnings distribution from quarter q-1 to avoid look-ahead bias.	Abnormal returns are size-adjusted or Carhart four-factor adjusted; the hedge is the High Profit portfolio minus the High Loss portfolio.	Quarterly.	60 or 120 trading days after announcement; the headline hedge uses [1,120].	Decile 10, High Profit / highest earnings-to-assets.	Decile 1, High Loss / lowest earnings-to-assets.	H-L	extracted-text/balakrishnan-2010.txt:100-140,337-435 (Sections 2.2 and 3.1-3.2, Table 2); papers/balakrishnan-2010/balakrishnan-2010-authoritative-fulltext.html	publisher_full_text_cityu	high	Original publisher full text explicitly defines the quarterly ROA-like earnings signal and a long High Profit / short High Loss hedge portfolio.
bali-2011	maxret	maximum daily return over the past one month (MAX)	Sort stocks by MAX; the paper documents a negative relation between MAX and expected returns, with low-MAX stocks outperforming high-MAX stocks by more than 1% per month.	Prior one-month daily returns define MAX; portfolio returns are reported for July 1962-Dec 2005.	Deciles on MAX.	Decile sorts; the abstract reports low-vs-high decile return differences rather than a specific weighting rule.	Monthly.	One month.	Low MAX / low lottery-like upside.	High MAX / high lottery-like upside.	N/A	doi:10.1016/j.jfineco.2010.08.014; sciencedirect:abstract	public_html	high	Abstract-level support is strong for the signal definition and the low-vs-high relation; the exact portfolio construction details beyond deciles are not fully spelled out in the abstract.
bandyopadhyay-2010	absacc	Accrual volatility (ACCV)	Compute each firm's standard deviation of accruals-to-sales over the past 16 quarters; every month rank all sample stocks into ten increasing-ACCV portfolios. Table II reports D1-D10, explicitly long the lowest-volatility decile and short the highest-volatility decile.	U.S. quarterly accounting data and monthly returns, 1976-2008; a 16-quarter signal window precedes portfolio formation.	Monthly deciles using the ranked ACCV values of all stocks; breakpoints are updated month by month.	Both equal-weighted and value-weighted returns are reported.	Monthly.	One month in Table II, with robustness horizons through five years.	Decile 1, lowest accrual volatility.	Decile 10, highest accrual volatility.	L-H	https://citeseerx.ist.psu.edu/document?doi=def4e90345f7f37ec26dab23a24c50ed5552828a&repid=rep1&type=pdf#Table-II; web-indexed original working-paper PDF Table II	repository_indexed_original_pdf	high	The indexed original PDF states ACCV is the 16-quarter standard deviation of accruals-to-sales and labels the explicit spread D1-D10; direct file retrieval was blocked by the repository TLS handshake, so no local PDF is claimed.
banz-1981	me	market equity = stock price times shares outstanding	The final article's illustrative arbitrage strategy ranks stocks solely by market value, invests equal dollar amounts in the 10, 20, or 50 smallest and largest firms, adjusts the two legs to the same beta, and reports small-minus-large returns.	All NYSE common stocks with at least five years of data during 1926-1975; the explicit arbitrage table covers 1931-1975.	Extreme size portfolios containing the 10, 20, or 50 smallest and largest firms at the beginning of each year.	Equal-weighted within each leg; legs are levered or unlevered to equal beta and form a zero-net-investment, zero-beta spread.	Annual constituent selection with monthly rebalancing.	Five years.	Smallest / lowest-market-equity firms.	Largest / highest-market-equity firms.	L-H	extracted-text/banz-1981-publisher.txt:174-189,213-223,518-635	publisher_final_pdf	high	Verified against the formal 16-page Journal of Financial Economics scan. Table 3 explicitly labels the spread “small firms held long, large firms held short”; this is a low-minus-high size strategy.
barbee-1996	sp	sales-price ratio, annual sales divided by fiscal-year-end market price	The published article runs monthly cross-sectional regressions of stock returns on lagged annual financial variables. Sales-price has a positive, consistently significant coefficient and absorbs the explanatory roles of book-market, market value, and debt-equity, but the paper does not form a standalone sales-price hedge portfolio.	Nonfinancial NYSE/AMEX firms with December fiscal year-ends; Compustat financial data begin in 1978 and CRSP returns run April 1979-December 1991.	N/A; monthly regressions rather than characteristic-sorted portfolios.	Regression-based; no portfolio weights.	Annual financial signal aligned to monthly regressions.	Monthly dependent returns; no paper-defined portfolio holding period.	N/A	N/A	not-simple	extracted-text/barbee-1996-publisher.txt:63-79,83-91,95-119	publisher_final_scan_and_proquest_full_text	high	Verified against the formal five-page Financial Analysts Journal publisher scan and authenticated ProQuest full text. The positive S/P-return relation must not be converted into a paper-defined H-L portfolio because the source uses regressions only.
barth-1999	nincr	repository signal: number of consecutive quarterly earnings increases; paper variable: consecutive annual earnings increases	The published paper estimates price and 12-month market-adjusted-return regressions. Its primary UPEARN indicator identifies firms with at least five consecutive years of increasing annual earnings; additional tests distinguish patterns from one through nine or more years. It does not form a standalone nincr return-sorted portfolio.	COMPUSTAT/CRSP firm-years from 1982-1992; the return specification uses compound 12-month market-adjusted returns beginning with the fiscal year's first month.	Regression indicators for at least five consecutive annual increases and, in sensitivity tests, one through nine or more years; no portfolio breakpoints.	Regression analysis; no portfolio weights.	Annual firm-year tests.	12-month market-adjusted return in the return specification; no portfolio holding period.	N/A	N/A	not-simple	extracted-text/barth-1999-publisher.txt:137-143,226-260,365-438,455-490,923-945,1219-1225	extracted_text	high	The journal article measures annual earnings-increase patterns, whereas the repository characteristic counts consecutive quarterly increases. The citation supports the economic idea but not the repository's quarterly construction, so the mapping is not a simple paper LMS.
basu-1977	ep	price-to-earnings ratio (P/E)	Compute P/E ratios for each sample security as of December 31, form five portfolios of similar P/E ratios, buy them on the following April 1, and track returns for the next 12 months under a buy-and-hold policy.	P/E is measured on December 31; portfolios are formed the following April 1; returns are computed for the next 12 months.	Five portfolios of similar P/E ratios; no numeric breakpoint cutoffs are given in the cited passage.	Equal initial investment; buy-and-hold.	Annual formation.	12 months.	Highest-P/E portfolio / no explicit long leg stated in the passage.	Lowest-P/E portfolio / no explicit short leg stated in the passage.	N/A	doi:10.1111/j.1540-6261.1977.tb01979.x; scholar:10.1111/j.1540-6261.1977.tb01979.x_0001 (Section II); scholar:10.1111/j.1540-6261.1977.tb01979.x_0047 (Table 1)	direct_method_passage	high	Direct methodology passage supports the annual P/E sort, April formation date, and 12-month buy-and-hold return window.
bazdresch-2014	hire	HN(t) = [employees(t) - employees(t-1)] / [0.5 × (employees(t-1) + employees(t))]	The published article sorts firms into hiring-rate deciles and explicitly reports the L2H hiring return spread, long the lowest-hiring portfolio and short the highest-hiring portfolio.	NYSE/AMEX/NASDAQ common stocks, July 1965-June 2010; December-fiscal-year firms; at the end of June t, hiring measured at the end of t-1 predicts returns from July t through June t+1.	Deciles of the hiring-rate distribution among all but microcap firms; the resulting breakpoints are applied to the full universe.	Equal-weighted and value-weighted portfolio returns are both reported; the main L2H spread is 10.4% per year equal-weighted and 5.6% value-weighted.	annual	12 months, July through June.	lowest-hiring-rate decile	highest-hiring-rate decile	L-H	extracted-text/bazdresch-2014-publisher.txt:298-381,409-426,500-504	publisher_final_jstor_pdf	high	Verified against the final Journal of Political Economy/JSTOR PDF; formula, sample, June formation, decile breakpoints, weighting, holding period, and low-minus-high direction are explicit.
bhandari-1988	lev	(book value of total assets - book value of common equity) / market value of common equity	DER is tested in a cross-sectional expected-return equation with LTEQ and BETA, after sorting stocks into 27 portfolios by size, portfolio-formation beta, and DER; the paper reports implied maximum-minus-minimum DER return differences but does not define a simple buy-high/sell-low strategy.	Monthly CRSP returns with COMPUSTAT accounting values; for each test subperiod, LTEQ and DER use latest available prior accounting values and portfolios/variables are updated for each new subperiod.	Three equal-sized groups on LTEQ, then three on portfolio-formation BETA, then three on DER, yielding 27 portfolios.	Equal-weighted stocks within each portfolio; regression/portfolio tests, not a stated long-short portfolio.	Updated for each new subperiod; not updated within a subperiod.	Monthly test returns within each subperiod.	high DER / maximum average DER portfolios	low DER / minimum average DER portfolios	not-simple	extracted-text/bhandari-1988.txt:134-173,258-285,632-652,762-765,1116-1121	extracted_text	high	Original text defines DER precisely and supports a positive DER-return relation, but the construction is cross-sectional/27-portfolio testing; do not promote the max-minus-min implied difference to a simple H-L LMS.
brown-2007	roic	return on invested capital	EBIT minus non-operating income, divided by liabilities plus common equity minus cash.	Annual Compustat data; the original working paper studies subsequent 12-month returns.	The original paper uses portfolio sorts; exact breakpoints are not available in a final published source.	Equal-weighted in the formal replication record.	Annual signal.	12 months.	High ROIC.	Low ROIC.	H-L	extracted-text/fallahgoul-2024-supplement.txt:4970-4976@supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf; extracted-text/gu-2020-internet-appendix.txt:2587-2594@supporting-information/gu-2020/gu-kelly-xiu-2020-internet-appendix.pdf	formal_published_si_plus_replication	high	No journal successor to Brown-Rowe was found, but multiple formal journal supplements and Chen-Zimmermann's public replication code independently confirm the formula, annual frequency, and H-L orientation. High confidence refers to construction and direction, not effect strength; the reported original spread is weak (t=0.9).
chan-1996	abr	abnormal return relative to the equally weighted market index cumulated from two days before to one day after the most recent past quarterly earnings announcement	Stocks are sorted monthly into ten portfolios by ABR; the paper reports buy-and-hold returns after formation and states favorable announcement-return stocks outperform unfavorable ones, but does not define a standalone ABR zero-cost H-L portfolio.	Domestic NYSE/AMEX/Nasdaq primary stocks with CRSP and COMPUSTAT coverage; monthly formations from January 1977 to January 1993; returns start after skipping the first five days after formation.	NYSE-only decile breakpoints; earnings-momentum breakpoints use NYSE firms with earnings reported in the prior three months.	Equal-weighted stocks within each decile portfolio.	Monthly formation/ranking; remaining stocks rebalanced to equal weights at the end of each reported period for subsequent-period returns.	Following six months and first, second, and third subsequent years.	high ABR / large favorable announcement returns	low ABR / large unfavorable announcement returns	not-simple	extracted-text/chan-1996.txt:222-240,270-290,329-345,670-679,783-784,833-847	extracted_text	high	ABR has clear signal, breakpoints, weighting, and return windows; the original text supports H outperforming L but not a clearly formed simple ABR-only long-short portfolio.
chan-1996	re	moving average of the last six months' revisions in mean I/B/E/S current-fiscal-year EPS estimates, scaled by beginning-of-month stock price	Stocks are sorted monthly into ten portfolios by REV6 analyst forecast revisions; the paper reports buy-and-hold returns and spreads for high versus low revision ranks, while the explicit zero-cost portfolio is only for a two-way prior-return plus revision classification.	Domestic NYSE/AMEX/Nasdaq primary stocks with CRSP, COMPUSTAT, and I/B/E/S forecast data where available; monthly formations from January 1977 to January 1993; returns start after skipping the first five days after formation.	NYSE-only decile breakpoints.	Equal-weighted stocks within each decile portfolio.	Monthly formation/ranking; remaining stocks rebalanced to equal weights at the end of each reported period for subsequent-period returns.	Following six months and first, second, and third subsequent years; Table X two-way strategy uses six-month holding then reforming.	high REV6 / upward analyst forecast revisions	low REV6 / downward analyst forecast revisions	not-simple	extracted-text/chan-1996.txt:294-308,329-345,794-817,970-986,1056-1072,1715-1756,1811-1817	extracted_text	high	Single-sort REV6 evidence gives high-minus-low spreads but not a clearly formed standalone simple H-L portfolio; the explicit zero-cost buy/sell language is for a double sort, so mark not-simple.
chan-2001	adm	advertising expenditure relative to market value of equity	Stocks are ranked annually by advertising expense-to-market into five equally sized portfolios, with nonadvertising firms separate; the paper reports buy-and-hold returns and control-portfolio excess returns, but does not define a simple long-short advertising portfolio.	Domestic NYSE/AMEX/Nasdaq primary stocks with CRSP and COMPUSTAT coverage; portfolios formed at end of April each year from 1975 to 1995 using most recently available accounting data with a four-month reporting delay.	Five equally sized portfolios among firms with advertising expenditures; no-advertising firms assigned to a separate portfolio.	Equally weighted annual buy-and-hold portfolio returns; excess returns use equally weighted size and book-to-market matched control portfolios.	Annual April formation; text says portfolio composition is revised each year.	First, second, and third postformation years and average over the three postformation years.	high advertising-to-market / quintile 5	low advertising-to-market / quintile 1	not-simple	extracted-text/chan-2001.txt:498-514,1142-1165,1195-1205,1210-1233,1367-1369	extracted_text	high	Clear annual quintile sort and high-minus-low comparison data exist, but no explicit simple H-L/L-H long-short portfolio is formed.
chan-2001	rdm	R&D expenditures relative to market value of equity	R&D-to-market is treated like a valuation ratio; stocks with R&D are ranked annually into five portfolios by R&D relative to market equity, with no-R&D firms separate; the paper reports buy-and-hold and control-adjusted returns and extreme-quintile spreads, but does not define a simple long-short R&D portfolio.	Domestic NYSE/AMEX/Nasdaq primary stocks with CRSP and COMPUSTAT coverage; portfolios formed at end of April each year from 1975 to 1995 using most recently available accounting data with a four-month reporting delay.	Five portfolios by R&D-to-market among firms with R&D; no-R&D firms are reported separately; OCR table indicates 1 Low through 5 High.	Equally weighted annual buy-and-hold portfolio returns; excess returns use size/book-to-market matched control portfolios.	Annual April formation; text says portfolio composition is revised each year.	First, second, and third postformation years and average over the three postformation years.	high R&D-to-market / quintile 5	low R&D-to-market / quintile 1	not-simple	extracted-text/chan-2001.txt:493-501,511-514,733-748,784-812,864-876,1367-1369	extracted_text	high	Original text supports high R&D-to-market outperforming low and reports an extreme-quintile spread, but this is reported return comparison/control-adjusted testing rather than an explicit simple H-L long-short construction.
