Acronym,Description,Category,Calculation
clean_price,Clean transaction price after TRACE cleaning.,Issue terms,Clean bond price used in monthly aggregation.
size,Bond issue size or amount outstanding proxy.,Issue terms,Release-level issue size variable.
rating,Numeric credit rating measure.,Issue terms,Merged rating value after rating data processing.
ytm,Yield to maturity.,Issue terms,Monthly bond yield-to-maturity measure.
duration,Bond duration.,Issue terms,Monthly bond duration measure.
benchmark_duration,Benchmark duration matched to the bond.,Issue terms,Duration of the matched benchmark Treasury or fixed-income benchmark.
age,Bond age.,Issue terms,Elapsed time since issuance or first valid record.
time2maturity,Remaining time to maturity.,Issue terms,Time from the monthly observation date to maturity.
Amihud,Amihud-style price impact illiquidity.,Trading activity,Absolute return scaled by trading activity.
std_Amihud,Standardized Amihud illiquidity.,Trading activity,Standardized version of Amihud across the bond panel.
Roll,Roll effective spread estimator.,Trading activity,Roll spread estimate from serial covariance in price changes.
BPW,Bond price-width liquidity proxy.,Trading activity,TRACE price dispersion or width-based liquidity metric.
TC_IQR,Interquartile transaction-cost proxy.,Trading activity,Interquartile range of transaction-cost estimates.
P_HL,High-low price spread proxy.,Trading activity,Monthly high-low price range liquidity proxy.
PI_Roll,Price-impact Roll proxy.,Trading activity,Price-impact variant based on the Roll spread estimator.
PI_HL,Price-impact high-low proxy.,Trading activity,Price-impact variant based on high-low price information.
barQ,Average quote or quantity proxy.,Trading activity,Monthly average quote/quantity metric from TRACE records.
std_barQ_1mom,Standardized one-month barQ momentum.,Trading activity,Standardized one-month change in barQ.
Range_daily,Daily price range.,Trading activity,Within-month daily price range summary.
trades,Number of trades.,Trading activity,Monthly count of valid TRACE transactions.
P_Zeros,Zero-trading probability proxy.,Trading activity,Fraction or probability proxy for zero trading activity.
P_FHT,FHT liquidity proxy.,Trading activity,Fong-Holden-Trzcinka style liquidity estimate.
PI_FHT,Price-impact FHT proxy.,Trading activity,Price-impact variant of the FHT liquidity estimate.
volume,Trading volume.,Trading activity,Monthly valid TRACE trading volume.
turnover,Bond turnover.,Trading activity,Trading volume scaled by size or amount outstanding.
range_monthly,Monthly price range.,Trading activity,Monthly high-low or range-based price variation.
monthly_return,Monthly bond return.,Return risk,Cleaned monthly bond return.
monthly_return_winsorized,Winsorized monthly bond return.,Return risk,Monthly bond return after winsorization.
variance,Return variance.,Return risk,Within-window variance of bond returns.
skewness,Return skewness.,Return risk,Within-window skewness of bond returns.
kurtosis,Return kurtosis.,Return risk,Within-window kurtosis of bond returns.
min_daily,Minimum daily return.,Return risk,Worst valid daily return within the month.
max_daily,Maximum daily return.,Return risk,Best valid daily return within the month.
VaR_5%,Five percent value at risk.,Return risk,Lower-tail five percent value-at-risk estimate.
VaR_10%,Ten percent value at risk.,Return risk,Lower-tail ten percent value-at-risk estimate.
VaR_5%ES,Five percent expected shortfall.,Return risk,Average loss conditional on the five percent lower tail.
VaR_10%ES,Ten percent expected shortfall.,Return risk,Average loss conditional on the ten percent lower tail.
COSKEW,Coskewness.,Return risk,Coskewness with the market or benchmark factor.
ISKEW,Idiosyncratic skewness.,Return risk,Skewness of residual or idiosyncratic bond returns.
1-month_mom,One-month momentum.,Momentum,Lagged one-month bond return signal.
6-month_mom,Six-month momentum.,Momentum,Intermediate-horizon lagged bond return signal.
12-month_mom,Twelve-month momentum.,Momentum,Longer-horizon lagged bond return signal.
LTR_mom,Long-term reversal or momentum.,Momentum,Long-term return continuation/reversal signal.
market_beta,Market beta.,Market exposure,Bond return beta to the market factor.
market_residual_variance,Market-model residual variance.,Market exposure,Residual variance from the market factor model.
term_beta,Term beta.,Market exposure,Bond return beta to the term factor.
default_beta,Default beta.,Market exposure,Bond return beta to the default factor.
term_default_residual_variance,Term-default residual variance.,Market exposure,Residual variance from the term/default factor model.
drf_beta,Downside-risk factor beta.,Market exposure,Bond return beta to the DRF factor.
crf_beta,Credit-risk factor beta.,Market exposure,Bond return beta to the CRF factor.
lrf_beta,Liquidity-risk factor beta.,Market exposure,Bond return beta to the LRF factor.
liq_beta,Liquidity beta.,Market exposure,Bond return beta to the liquidity factor.
vix_beta,VIX beta.,Market exposure,Bond return beta to volatility innovations.
unc_beta,Uncertainty beta.,Market exposure,Bond return beta to macro uncertainty innovations.
