characteristic_id	variant_id	variant_role	source_label	source_year	formula	data_fields	calculation_window_zh	calculation_window_en	accounting_lag_zh	accounting_lag_en	portfolio_rule_zh	portfolio_rule_en	direction	source_path	source_page	source_url	notes_zh	notes_en
bm_ia	asness-2000	original_paper	Asness, Porter & Stevens — Predicting Stock Returns Using Industry-Relative Firm Characteristics	2000	BM_IA(i,t) = BM(i,t) − mean[BM(j,t) | j ∈ industry(i)]	论文概念：book equity、market equity、industry membership	年度公司特征；同一期横截面行业均值。原文样本为 1963-06 至 1998-11。	Annual firm characteristic and same-period cross-sectional industry mean. The source sample runs from June 1963 to November 1998.	公开摘要未说明。	Not stated in the public abstract.	论文把特征拆为行业内与跨行业部分；公开摘要未给出可直接复刻的独立 H-L 组合窗口。	The paper decomposes the characteristic into within- and across-industry components; the public abstract does not state a standalone replicable H-L portfolio window.	N/A			https://papers.ssrn.com/sol3/papers.cfm?abstract_id=213872	这是 bm_ia 的直接来源，不是基础 bm 论文；该研究目前确认仍为 working paper。	This is the direct source for bm_ia, not a generic book-to-market paper; the study remains a working paper in the verified record.
bm_ia	equitychars	project_implementation	EquityChars formula table and portfolio builder	2026	BM = (SEQ + TXDITC − PSTK) / (PRC × SHROUT); BM_IA = BM − industry mean(BM)	CRSP: PRC, SHROUT, RET, ME; Compustat: SEQ, TXDITC, PSTK; industry bucket: 当前公式文档未注明	基础指标年频；同一期做行业横截面去均值；已对齐的最新指标值进入月度面板。	Annual base signal; demeaned within the same-period industry cross-section; the latest aligned value enters the monthly panel.	上游 CRSP/Compustat 对齐滞后未在当前公式表注明；组合脚本使用已对齐的 t 期指标与 t+1 收益。	The upstream CRSP/Compustat alignment lag is not documented in the formula table; the portfolio builder consumes aligned signal t and return t+1.	每月全样本十分位；做多 D10、做空 D1；同时计算等权和市值加权。	Monthly full-sample deciles; long D10 and short D1; both equal- and value-weighted.	H-L			https://github.com/Yuning598/EquityChars/blob/website/documents/formula_docs/equity_characteristics_calculation.tex#L110-L117	行业分组字段未在当前公式文档中说明，不能擅自写成 SIC2 或 FF49。	The current formula document does not identify the industry bucket, so SIC2 or FF49 should not be assumed.
cfp_ia	asness-2000	original_paper	Asness, Porter & Stevens — Predicting Stock Returns Using Industry-Relative Firm Characteristics	2000	CFP_IA(i,t) = CFP(i,t) − mean[CFP(j,t) | j ∈ industry(i)]	论文概念：cash flow、market equity、industry membership	年度公司特征；同一期横截面行业均值。原文样本为 1963-06 至 1998-11。	Annual firm characteristic and same-period cross-sectional industry mean. The source sample runs from June 1963 to November 1998.	公开摘要未说明。	Not stated in the public abstract.	论文把特征拆为行业内与跨行业部分；公开摘要未给出可直接复刻的独立 H-L 组合窗口。	The paper decomposes the characteristic into within- and across-industry components; the public abstract does not state a standalone replicable H-L portfolio window.	N/A			https://papers.ssrn.com/sol3/papers.cfm?abstract_id=213872	这是 cfp_ia 的直接来源，不是基础 cfp 论文；该研究目前确认仍为 working paper。	This is the direct source for cfp_ia, not a generic cash-flow-to-price paper; the study remains a working paper in the verified record.
cfp_ia	equitychars	project_implementation	EquityChars formula table and portfolio builder	2026	CFP = IB/ME if DP missing; otherwise (IB + DP)/ME; CFP_IA = CFP − industry mean(CFP)	CRSP: PRC, SHROUT, RET, ME; Compustat: IB, DP; industry bucket: 当前公式文档未注明	基础指标年频；同一期做行业横截面去均值；已对齐的最新指标值进入月度面板。	Annual base signal; demeaned within the same-period industry cross-section; the latest aligned value enters the monthly panel.	上游 CRSP/Compustat 对齐滞后未在当前公式表注明；组合脚本使用已对齐的 t 期指标与 t+1 收益。	The upstream CRSP/Compustat alignment lag is not documented in the formula table; the portfolio builder consumes aligned signal t and return t+1.	每月全样本十分位；做多 D10、做空 D1；同时计算等权和市值加权。	Monthly full-sample deciles; long D10 and short D1; both equal- and value-weighted.	H-L			https://github.com/Yuning598/EquityChars/blob/website/documents/formula_docs/equity_characteristics_calculation.tex#L131-L140	IB 缺失时项目设为缺失；行业分组字段仍待上游实现说明。	The project sets the signal to missing when IB is missing; the industry bucket still needs upstream implementation documentation.
chempia	asness-2000	original_paper	Asness, Porter & Stevens — Predicting Stock Returns Using Industry-Relative Firm Characteristics	2000	CHEMPIA(i,t) = ΔEMP(i,t) − mean[ΔEMP(j,t) | j ∈ industry(i)]	论文概念：current and lagged employment、industry membership	年度公司特征；同一期横截面行业均值。原文样本为 1963-06 至 1998-11。	Annual firm characteristic and same-period cross-sectional industry mean. The source sample runs from June 1963 to November 1998.	公开摘要未说明。	Not stated in the public abstract.	论文把员工变化拆为行业内与跨行业部分；公开摘要未给出可直接复刻的独立 L-H 组合窗口。	The paper decomposes employee change into within- and across-industry components; the public abstract does not state a standalone replicable L-H portfolio window.	N/A			https://papers.ssrn.com/sol3/papers.cfm?abstract_id=213872	这是 chempia 的直接来源；不是一般雇员增长论文。	This is the direct source for chempia, rather than a generic employee-growth paper.
chempia	equitychars	project_implementation	EquityChars formula table and portfolio builder	2026	HIRE = (EMP_t − EMP_t−1) / EMP_t−1; CHEMPIA = HIRE − industry mean(HIRE)	Compustat: EMP_t, EMP_t−1; CRSP: RET, ME for portfolios; industry bucket: 当前公式文档未注明	连续两个财年的 EMP；同一期行业横截面去均值；缺少可用增长率时 HIRE 置 0。	Two consecutive fiscal-year EMP observations; same-period industry demeaning; HIRE is set to zero when the growth rate is unavailable.	上游会计数据对齐滞后未在当前公式表注明；组合脚本使用已对齐的 t 期指标与 t+1 收益。	The upstream accounting-data alignment lag is not documented in the formula table; the portfolio builder consumes aligned signal t and return t+1.	每月全样本十分位；做多 D1、做空 D10；同时计算等权和市值加权。	Monthly full-sample deciles; long D1 and short D10; both equal- and value-weighted.	L-H			https://github.com/Yuning598/EquityChars/blob/website/documents/formula_docs/equity_characteristics_calculation.tex#L156-L162	缺失值置 0 是项目实现细节，不能自动归于原论文。	Setting missing HIRE to zero is an implementation detail and should not be attributed to the original paper without source evidence.
me_ia	asness-2000	original_paper	Asness, Porter & Stevens — Predicting Stock Returns Using Industry-Relative Firm Characteristics	2000	ME_IA(i,t) = ME(i,t) − mean[ME(j,t) | j ∈ industry(i)]	论文概念：market equity、industry membership	年度公司特征；同一期横截面行业均值。原文样本为 1963-06 至 1998-11。	Annual firm characteristic and same-period cross-sectional industry mean. The source sample runs from June 1963 to November 1998.	公开摘要未说明。	Not stated in the public abstract.	论文把规模拆为行业内与跨行业部分；公开摘要未给出可直接复刻的独立 L-H 组合窗口。	The paper decomposes size into within- and across-industry components; the public abstract does not state a standalone replicable L-H portfolio window.	N/A			https://papers.ssrn.com/sol3/papers.cfm?abstract_id=213872	这是 me_ia 的直接来源，不是基础规模效应论文。	This is the direct source for me_ia, not a generic size-effect paper.
me_ia	equitychars	project_implementation	EquityChars formula table and portfolio builder	2026	ME = PRC × SHROUT; ME_IA = ME − industry mean(ME)	CRSP: PRC, SHROUT, RET, ME; industry bucket: 当前公式文档未注明	年频行业调整值；同一期行业横截面去均值；已对齐的最新指标值进入月度面板。	Annual industry-adjusted value; same-period industry demeaning; the latest aligned value enters the monthly panel.	上游对齐规则未在当前公式表注明；组合脚本使用已对齐的 t 期指标与 t+1 收益。	The upstream alignment rule is not documented in the formula table; the portfolio builder consumes aligned signal t and return t+1.	每月全样本十分位；做多 D1、做空 D10；同时计算等权和市值加权。	Monthly full-sample deciles; long D1 and short D10; both equal- and value-weighted.	L-H			https://github.com/Yuning598/EquityChars/blob/website/documents/formula_docs/equity_characteristics_calculation.tex#L226-L230	公式文档写 PRC × SHROUT；若上游对负价格取绝对值，需要另查数据生成实现。	The formula document states PRC × SHROUT; any upstream absolute-price normalization requires separate implementation evidence.
cashpr	chandrashekar-2009	original_paper	Chandrashekar & Rao — The Productivity of Corporate Cash Holdings and the Cross-Section of Expected Stock Returns	2009	η = (market value of firm − total assets) / cash holdings	论文概念：market value of firm、total assets、cash holdings；当前没有正式全文可核 exact vendor mnemonics	年频公司特征；已核记录的原始样本为 1963–2003。	Annual firm characteristic; the verified record reports the original sample as 1963–2003.	当前可访问记录未说明。	Not stated in the currently accessible record.	当前可访问记录不足以独立确认精确分组、持有窗口和权重。	The currently accessible record is insufficient to independently verify exact breakpoints, holding window, and weighting.	未独立核实			https://doi.org/10.2139/ssrn.1334162	保留原始 working paper，不用后续论文覆盖；未确认的字段明确留空。	The original working paper is retained rather than replaced by later papers; unverified implementation fields remain explicit.
cashpr	equitychars	project_implementation	EquityChars formula table and portfolio builder	2026	CASHPR = (PRC × SHROUT + DLTT − AT) / CHE	CRSP: PRC, SHROUT, RET, ME; Compustat: DLTT, AT, CHE	年频会计输入；已对齐的最新指标值进入月度面板。	Annual accounting inputs; the latest aligned value enters the monthly panel.	上游 CRSP/Compustat 对齐滞后未在当前公式表注明；组合脚本使用已对齐的 t 期指标与 t+1 收益。	The upstream CRSP/Compustat alignment lag is not documented in the formula table; the portfolio builder consumes aligned signal t and return t+1.	每月全样本十分位；做多 D1、做空 D10；同时计算等权和市值加权。	Monthly full-sample deciles; long D1 and short D10; both equal- and value-weighted.	L-H			https://github.com/Yuning598/EquityChars/blob/website/documents/formula_docs/equity_characteristics_calculation.tex#L127-L129	这是网站代码方向和公式的基准口径。	This is the benchmark formula and direction for the website implementation.
cashpr	rao-2013	published_followup	Rao, Tang & Chandrashekar — Do Corporate Cash Holdings Predict Stock Returns?	2013	C = CHE / (CSHO × PRCC_F − CEQ)	Compustat: CHE, CSHO, PRCC_F, CEQ；CRSP: monthly RET, lagged market equity	财年末变量；每月用最新可得 C 重新分组。	Fiscal-year-end variables; portfolios are refreshed monthly with the latest available C.	财年末到组合形成日至少滞后 4 个月。	At least four months between fiscal year-end and portfolio formation.	每月十分位，持有 1 个月；做多高 C 的 D10、做空低 C 的 D1；报告等权和市值加权。	Monthly deciles held for one month; long high-C D10 and short low-C D1; both equal- and value-weighted.	H-L	papers/rao-2013/rao2013.pdf	2		这是正式发表的后续版本。它使用原始 η 的倒数式 C，且分母写成市值减账面权益，不能与项目公式当作完全相同。	This is the published follow-up. It uses the reciprocal-style C and a market-minus-book-equity denominator, so it is not identical to the project formula.
cashpr	chen-zimmermann-2022	published_replication	Chen & Zimmermann — Open Source Cross-Sectional Asset Pricing, Online Appendix	2022	CashProd = (abs(PRC) × SHROUT − AT) / CHE	CRSP: PRC, SHROUT; Compustat: AT, CHE	定义表标为 Original；原始样本 1963–2003。	The definition table labels the timing as Original; the original sample is 1963–2003.	该定义表未注明。	Not stated in the definition table.	该行用于公式复核，没有单列组合形成规则。	This row is a formula cross-check and does not separately state the portfolio-formation rule.	未注明	supporting-information/chen-zimmermann-2022/chen-zimmermann-2022-online-appendix.pdf	12		这一复现口径不含 DLTT，因此与 EquityChars/Fallahgoul 的分子不同。	This replication omits DLTT, so its numerator differs from EquityChars/Fallahgoul.
cashpr	fallahgoul-2024	published_replication	Fallahgoul, Franstianto & Lin — Journal Supplement	2024	cashpr = (mve_f + DLTT − AT) / CHE	CRSP: fiscal-year-end MVE_F; Compustat: DLTT, AT, CHE	年频。	Annual.	该定义表未注明。	Not stated in the definition table.	该行用于特征定义复核，没有单列组合形成规则。	This row is a characteristic-definition cross-check and does not separately state the portfolio-formation rule.	未注明	supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf	37		公式与 EquityChars 最接近，但市值明确使用财年末 mve_f。	This formula is closest to EquityChars, but explicitly uses fiscal-year-end market equity mve_f.
rvar_capm	ang-2006	original_paper	Ang, Hodrick, Xing & Zhang — The Cross-Section of Volatility and Expected Returns	2006	RET − RF = α + β(MKT−RF) + ε; RVAR_CAPM = Var(ε)	CRSP daily: RET; Fama–French daily: RF, MKT−RF	组合形成日前 1 个月的日收益；论文主规格为 1/0/1。	Daily returns over the previous month; the paper's main specification is 1/0/1.	等待期 0 个月。	Zero-month waiting period.	每月市值加权五分位，持有 1 个月；做多低波动 Q1、做空高波动 Q5。	Monthly value-weighted quintiles held for one month; long low-volatility Q1 and short high-volatility Q5.	L-H	papers/ang-2006/ang-hodrick-xing-zhang-2006.pdf	25		论文以 FF3 残差波动率为主，并说明 CAPM 口径结果几乎相同。	The paper focuses on FF3 idiosyncratic volatility and reports that the CAPM version gives almost identical results.
rvar_capm	equitychars	project_implementation	EquityChars formula table and portfolio builder	2026	RVAR_CAPM = sample Var(ε) from a rolling CAPM excess-return regression	CRSP daily: RET; Fama–French daily: RF, MKT−RF; CRSP monthly: RET, ME for portfolios	滚动 3 个月日收益；与论文主规格的 1 个月不同。	Rolling three months of daily returns; different from the paper's one-month main specification.	当前公式表未注明额外等待期。	The formula table does not state an additional waiting period.	每月全样本十分位；做多 D1、做空 D10；同时计算等权和市值加权。	Monthly full-sample deciles; long D1 and short D10; both equal- and value-weighted.	L-H			https://github.com/Yuning598/EquityChars/blob/website/documents/formula_docs/equity_characteristics_calculation.tex#L296-L298	窗口和分组数均不同于 Ang et al. (2006)，方向一致。	Both the estimation window and the number of portfolios differ from Ang et al. (2006), while the direction agrees.
rvar_ff3	ang-2006	original_paper	Ang, Hodrick, Xing & Zhang — The Cross-Section of Volatility and Expected Returns	2006	RET − RF = α + βMKT(MKT−RF) + βSMB·SMB + βHML·HML + ε; RVAR_FF3 = Var(ε)	CRSP daily: RET; Fama–French daily: RF, MKT−RF, SMB, HML	组合形成日前 1 个月的日收益；论文主规格为 1/0/1。	Daily returns over the previous month; the paper's main specification is 1/0/1.	等待期 0 个月。	Zero-month waiting period.	每月市值加权五分位，持有 1 个月；做多低波动 Q1、做空高波动 Q5。	Monthly value-weighted quintiles held for one month; long low-volatility Q1 and short high-volatility Q5.	L-H	papers/ang-2006/ang-hodrick-xing-zhang-2006.pdf	25		这是论文正文采用的特质波动率主口径。	This is the paper's main idiosyncratic-volatility specification.
