characteristic_id	source_id	variant_role	source_label	source_year	formula_latex	formula_text	formula_match	data_fields	calculation_window_zh	calculation_window_en	accounting_lag_zh	accounting_lag_en	portfolio_rule_zh	portfolio_rule_en	direction	source_path	source_page	source_url	notes_zh	notes_en
abr	chan-1996	original_paper	Momentum Strategies	1996	\(\displaystyle \mathrm{ABR}_{i,q}=\sum_{\tau=-2}^{1}\left(R_{i,q+\tau}-R^{EW}_{m,q+\tau}\right)\)	abnormal return relative to the equally weighted market index cumulated from two days before to one day after the most recent past quarterly earnings announcement	paper_definition	abnormal return relative to the equally weighted market index cumulated from two days before to one day after the most recent past quarterly earnings announcement	Domestic NYSE/AMEX/Nasdaq primary stocks with CRSP and COMPUSTAT coverage; monthly formations from January 1977 to January 1993; returns start after skipping the first five days after formation.	Domestic NYSE/AMEX/Nasdaq primary stocks with CRSP and COMPUSTAT coverage; monthly formations from January 1977 to January 1993; returns start after skipping the first five days after formation.			NYSE-only decile breakpoints; earnings-momentum breakpoints use NYSE firms with earnings reported in the prior three months. Equal-weighted stocks within each decile portfolio. Monthly formation/ranking; remaining stocks rebalanced to equal weights at the end of each reported period for subsequent-period returns. Following six months and first, second, and third subsequent years.	NYSE-only decile breakpoints; earnings-momentum breakpoints use NYSE firms with earnings reported in the prior three months. Equal-weighted stocks within each decile portfolio. Monthly formation/ranking; remaining stocks rebalanced to equal weights at the end of each reported period for subsequent-period returns. Following six months and first, second, and third subsequent years.	not-simple	papers/chan-1996/chan-jegadeesh-lakonishok-1996-jstor.pdf		https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.1996.tb05222.x	按论文变量定义转写。	Transcribed from the paper's variable definition.
absacc	bandyopadhyay-2010	original_paper	The Value of Long-Term Accrual Management	2010	\(\displaystyle \mathrm{ACCV}_{i,t}=\operatorname{SD}_{q=t-15,\ldots,t}\!\left(\frac{\mathrm{Accruals}_{i,q}}{\mathrm{Sales}_{i,q}}\right)\)	Accrual volatility (ACCV)	closest_paper_measure	Accrual volatility (ACCV)	U.S. quarterly accounting data and monthly returns, 1976-2008; a 16-quarter signal window precedes portfolio formation.	U.S. quarterly accounting data and monthly returns, 1976-2008; a 16-quarter signal window precedes portfolio formation.			Monthly deciles using the ranked ACCV values of all stocks; breakpoints are updated month by month. Both equal-weighted and value-weighted returns are reported. Monthly. One month in Table II, with robustness horizons through five years.	Monthly deciles using the ranked ACCV values of all stocks; breakpoints are updated month by month. Both equal-weighted and value-weighted returns are reported. Monthly. One month in Table II, with robustness horizons through five years.	L-H			https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1466347	论文只给出最接近口径，与项目指标不完全相同。	The paper provides the closest available measure; it is not identical to the project signal.
acc	sloan-1996	original_paper	Do Stock Prices Fully Reflect Information in Accruals and Cash Flows About Future Earnings?	1996	\(\displaystyle \mathrm{ACC}_{i,t}=\frac{\Delta(\mathrm{ACT}-\mathrm{CHE})_{i,t}-\Delta(\mathrm{LCT}-\mathrm{DLC}-\mathrm{TXP})_{i,t}-\mathrm{DP}_{i,t}}{(\mathrm{AT}_{i,t}+\mathrm{AT}_{i,t-1})/2}\)	accruals = change in non-cash current assets minus change in current liabilities excluding short-term debt and taxes payable, minus depreciation, scaled by average total assets	paper_definition	accruals = change in non-cash current assets minus change in current liabilities excluding short-term debt and taxes payable, minus depreciation, scaled by average total assets	40,679 firm-years from 1962-1991; financial-statement variables are annual, and return accumulation starts four months after fiscal year-end.	40,679 firm-years from 1962-1991; financial-statement variables are annual, and return accumulation starts four months after fiscal year-end.			Annual equal-count accrual deciles, lowest through highest. Equal-weighted portfolio abnormal returns; size-adjusted buy-and-hold returns and Jensen alphas are reported. annual One year for the primary test; the paper also reports years two and three.	Annual equal-count accrual deciles, lowest through highest. Equal-weighted portfolio abnormal returns; size-adjusted buy-and-hold returns and Jensen alphas are reported. annual One year for the primary test; the paper also reports years two and three.	L-H	papers/sloan-1996/sloan-1996-publisher.pdf		https://doi.org/10.2308/tar-9608042309	按论文变量定义转写。	Transcribed from the paper's variable definition.
adm	chan-2001	original_paper	The Stock Market Valuation of Research and Development Expenditures	2001	\(\displaystyle \mathrm{ADM}_{i,t}=\frac{\mathrm{XAD}_{i,t}}{\mathrm{ME}_{i,t}}\)	advertising expenditure relative to market value of equity	paper_definition	advertising expenditure relative to market value of equity	Domestic NYSE/AMEX/Nasdaq primary stocks with CRSP and COMPUSTAT coverage; portfolios formed at end of April each year from 1975 to 1995 using most recently available accounting data with a four-month reporting delay.	Domestic NYSE/AMEX/Nasdaq primary stocks with CRSP and COMPUSTAT coverage; portfolios formed at end of April each year from 1975 to 1995 using most recently available accounting data with a four-month reporting delay.			Five equally sized portfolios among firms with advertising expenditures; no-advertising firms assigned to a separate portfolio. Equally weighted annual buy-and-hold portfolio returns; excess returns use equally weighted size and book-to-market matched control portfolios. Annual April formation; text says portfolio composition is revised each year. First, second, and third postformation years and average over the three postformation years.	Five equally sized portfolios among firms with advertising expenditures; no-advertising firms assigned to a separate portfolio. Equally weighted annual buy-and-hold portfolio returns; excess returns use equally weighted size and book-to-market matched control portfolios. Annual April formation; text says portfolio composition is revised each year. First, second, and third postformation years and average over the three postformation years.	not-simple	papers/chan-2001/chan-lakonishok-sougiannis-2001-jstor.pdf		https://onlinelibrary.wiley.com/doi/10.1111/0022-1082.00411	按论文变量定义转写。	Transcribed from the paper's variable definition.
age	jiang-2005	original_paper	Information Uncertainty and Expected Returns	2005	\(\displaystyle \mathrm{Age}_{i,t}=t-\mathrm{FirstCRSPMonth}_{i}\)	Firm Age = number of months between event month t and the first month that the stock appears in CRSP	closest_paper_measure	Firm Age = number of months between event month t and the first month that the stock appears in CRSP	NYSE/AMEX/NASDAQ firms from 1965-2001; excludes closed-end funds, REITs, ADRs, foreign firms, very small firms, and firms with less than 12 months of CRSP past returns.	NYSE/AMEX/NASDAQ firms from 1965-2001; excludes closed-end funds, REITs, ADRs, foreign firms, very small firms, and firms with less than 12 months of CRSP past returns.			Monthly deciles on Firm Age; V1 is oldest/high age and V10 is youngest/low age. Equal-weighted portfolio returns. Monthly. Next K months, K=6 or 12; holding-period returns average strategies initiated in the current and previous K-1 months.	Monthly deciles on Firm Age; V1 is oldest/high age and V10 is youngest/low age. Equal-weighted portfolio returns. Monthly. Next K months, K=6 or 12; holding-period returns average strategies initiated in the current and previous K-1 months.	L-H	papers/jiang-2005/jiang-2005-publisher.pdf		https://doi.org/10.1007/s11142-005-1528-2	论文只给出最接近口径，与项目指标不完全相同。	The paper provides the closest available measure; it is not identical to the project signal.
agr	cooper-2008	original_paper	Asset Growth and the Cross-Section of Stock Returns	2008	\(\displaystyle \mathrm{AGR}_{i,t}=\frac{\mathrm{AT}_{i,t}-\mathrm{AT}_{i,t-1}}{\mathrm{AT}_{i,t-1}}\)	year-on-year percentage change in total assets	paper_definition	year-on-year percentage change in total assets	U.S. stock cross section in the 2008 Journal of Finance paper; annual asset-growth sorts with subsequent return tests.	U.S. stock cross section in the 2008 Journal of Finance paper; annual asset-growth sorts with subsequent return tests.			not reported in abstract quintile sorts with an explicit spread column; equal- and value-weighted portfolios annual subsequent annual returns	not reported in abstract quintile sorts with an explicit spread column; equal- and value-weighted portfolios annual subsequent annual returns	L-H	papers/cooper-2008/cooper-gulen-schill-2008-jstor.pdf		https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2008.01370.x	按论文变量定义转写。	Transcribed from the paper's variable definition.
alm	ortiz-molina-2014	original_paper	Real Asset Illiquidity and the Cost of Capital	2014	\(\displaystyle \mathrm{ALM}_{j,t}\in\left\{\mathrm{MNoPotBuy}_{j,t},\mathrm{NLPotBuy}_{j,t},\mathrm{MTotM\&A}_{j,t},\mathrm{MInM\&A}_{j,t},\mathrm{MOutM\&A}_{j,t}\right\}\)	real-asset illiquidity measures MNoPotBuy, NLPotBuy, and MTotM&A; also MInM&A and MOutM&A	closest_paper_measure	real-asset illiquidity measures MNoPotBuy, NLPotBuy, and MTotM&A; also MInM&A and MOutM&A	Sample period 1984-2006 for the main asset-illiquidity/cost-of-capital tests; measures use three-digit SIC industries and are often averaged over the past five years.	Sample period 1984-2006 for the main asset-illiquidity/cost-of-capital tests; measures use three-digit SIC industries and are often averaged over the past five years.			Annual quintiles by real-asset illiquidity for univariate tests; standardized variables in regressions. Equal-weighted and value-weighted average implied-cost-of-capital portfolios in univariate tests; regression-based main evidence. Annual. N/A; expected cost-of-capital tests, not realized-return holding-period portfolios.	Annual quintiles by real-asset illiquidity for univariate tests; standardized variables in regressions. Equal-weighted and value-weighted average implied-cost-of-capital portfolios in univariate tests; regression-based main evidence. Annual. N/A; expected cost-of-capital tests, not realized-return holding-period portfolios.	not-simple	papers/ortiz-molina-2014/ortiz-molina-2014-publisher.pdf		https://doi.org/10.1017/S0022109014000210	论文只给出最接近口径，与项目指标不完全相同。	The paper provides the closest available measure; it is not identical to the project signal.
ato	soliman-2008	original_paper	The Use of DuPont Analysis by Market Participants	2008	\(\displaystyle \mathrm{ATO}_{i,t}=\frac{\mathrm{SALE}_{i,t}}{(\mathrm{NOA}_{i,t}+\mathrm{NOA}_{i,t-1})/2}\)	ATO = sales divided by average net operating assets	paper_definition	ATO = sales divided by average net operating assets	38,716 firm-years from 1984-2002; financial firms and observations lacking I/B/E/S, Compustat, or CRSP data are excluded.	38,716 firm-years from 1984-2002; financial firms and observations lacking I/B/E/S, Compustat, or CRSP data are excluded.			Annual decile ranks in the future-return regressions. N/A; Fama-MacBeth regression evidence rather than a standalone level-ATO portfolio. annual One-year future market-adjusted return beginning four months after fiscal year-end.	Annual decile ranks in the future-return regressions. N/A; Fama-MacBeth regression evidence rather than a standalone level-ATO portfolio. annual One-year future market-adjusted return beginning four months after fiscal year-end.	not-simple	papers/soliman-2008/soliman-2008-publisher.pdf		https://onlinelibrary.wiley.com/doi/abs/10.2308/accr.2008.83.3.823	按论文变量定义转写。	Transcribed from the paper's variable definition.
baspread	amihud-1989	original_paper	The Effects of Beta, Bid-Ask Spread, Residual Risk, and Size on Stock Returns	1989	\(\displaystyle \mathrm{Spread}_{i,t}=\frac{\mathrm{ASK}_{i,t}-\mathrm{BID}_{i,t}}{(\mathrm{ASK}_{i,t}+\mathrm{BID}_{i,t})/2}\)	bid-ask percentage spread	paper_definition	bid-ask percentage spread	Beta is estimated over the prior 60 months; bid-ask spread is measured from the data in the year just preceding year n; the portfolio returns are reported for 1961-1980.	Beta is estimated over the prior 60 months; bid-ask spread is measured from the data in the year just preceding year n; the portfolio returns are reported for 1961-1980.			7 spread groups x 7 beta groups; the cited passage does not report numeric cutpoints. Equal portfolios / equal-weighted portfolio excess returns. Annual. One year.	7 spread groups x 7 beta groups; the cited passage does not report numeric cutpoints. Equal portfolios / equal-weighted portfolio excess returns. Annual. One year.	N/A	papers/amihud-1989/amihud-mendelson-1989-jstor.pdf		https://doi.org/10.1111/j.1540-6261.1989.tb05067.x	按论文变量定义转写。	Transcribed from the paper's variable definition.
beta	fama-1973	original_paper	Risk, Return, and Equilibrium: Empirical Tests	1973	\(\displaystyle \beta_i=\frac{\operatorname{Cov}(R_i,R_m)}{\operatorname{Var}(R_m)}\)	estimated market beta, cov(Ri,Rm) / var(Rm), using Fisher's equally weighted NYSE return index	paper_definition	estimated market beta, cov(Ri,Rm) / var(Rm), using Fisher's equally weighted NYSE return index	Nine predictive formation/estimation/test sequences spanning 1926-June 1968; typically seven formation years, five initial estimation years, and four test years.	Nine predictive formation/estimation/test sequences spanning 1926-June 1968; typically seven formation years, five initial estimation years, and four test years.			Twenty beta-ranked portfolios with approximately equal security counts; first is lowest beta and last is highest beta. Equal-weighted individual-security returns within each portfolio each month. Portfolios are reformed at four-year test-period intervals; component betas update annually and portfolio betas update monthly for delistings. Monthly returns during each subsequent test window.	Twenty beta-ranked portfolios with approximately equal security counts; first is lowest beta and last is highest beta. Equal-weighted individual-security returns within each portfolio each month. Portfolios are reformed at four-year test-period intervals; component betas update annually and portfolio betas update monthly for delistings. Monthly returns during each subsequent test window.	not-simple	papers/fama-1973/fama-1973-publisher.pdf		https://www.journals.uchicago.edu/doi/10.1086/260061	按论文变量定义转写。	Transcribed from the paper's variable definition.
