characteristic_id	formula_latex	formula_direction	data_fields	calculation_window_zh	calculation_window_en	accounting_lag_zh	accounting_lag_en	source_label	source_url	provenance	source_commit	code_path	code_lines	code_frequency_zh	code_frequency_en	reconcile_url	notes_zh	notes_en
abr	\(\displaystyle \mathrm{ABR}_{i,t}=\sum_{\tau=-2}^{1}\left[\mathrm{DLYRET}_{i,t+\tau}-(\mathrm{MKTRF}_{t+\tau}+\mathrm{RF}_{t+\tau})\right]\)	+1	CRSP: DLYRET; Factor data: MKTRF, RF	季度财报事件；[-2,+1] 交易日 ABR 对齐到月度。	Quarterly earnings event; trading-day [-2,+1] ABR aligned to monthly dates.	按 chars_ciz 的季度或事件日期对齐；未另行添加页面假设。	Aligned by the chars_ciz quarterly or event-date rule; the page adds no extra assumption.	EquityChars CIZ · abr.py · L176	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/abr.py#L176	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/abr.py	176	季度财报事件；[-2,+1] 交易日 ABR 对齐到月度。	Quarterly earnings event; trading-day [-2,+1] ABR aligned to monthly dates.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
absacc	\(\displaystyle \mathrm{ABSACC}_{i,t}=|\mathrm{ACC}_{i,t}|\)	-1	Derived/intermediate variables; raw fields not stated	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L445, L1527	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L445	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	445,1527	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
acc	\(\displaystyle \mathrm{ACC}_{i,t}= \begin{cases} \dfrac{(\Delta\mathrm{ACT}_{i,t}-\Delta\mathrm{CHE}_{i,t}) -\Delta\mathrm{LCT}_{i,t}+\Delta\mathrm{DLC}_{i,t}+\Delta\mathrm{TXP}_{i,t} -\mathrm{DP}_{i,t}} {\frac{1}{2}(\mathrm{AT}_{i,t}+\mathrm{AT}_{i,t-1})}, & \mathrm{OANCF}_{i,t}\text{ missing},\\[0.6em] \dfrac{\mathrm{NI}_{i,t}-\mathrm{OANCF}_{i,t}} {\frac{1}{2}(\mathrm{AT}_{i,t}+\mathrm{AT}_{i,t-1})}, & \text{otherwise}. \end{cases}\)	-1	Compustat: ACT, AT, CHE, DLC, DP, LCT, NI, OANCF, TXP	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L440, L1522	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L440	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	440,1522	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
adm	\(\displaystyle \mathrm{ADM}_{i,t}=\frac{\mathrm{XAD}_{i,t}}{\mathrm{ME}_{i,t}}\).	+1	Compustat: XAD	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L2328	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L2328	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	2328	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
age	\(\displaystyle \mathrm{AGE}_{i,t}=\mathrm{count}_{i,t}\), the Compustat history counter used in the CIZ pipeline.	-1	Derived/intermediate variables; raw fields not stated	年频；公司在 Compustat 年度样本中的累计记录数。	Annual; cumulative firm record count in the Compustat annual sample.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L1062	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L1062	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	1062	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
agr	\(\displaystyle \mathrm{AGR}_{i,t}=\frac{\Delta\mathrm{AT}_{i,t}}{\mathrm{AT}_{i,t-1}}\)	-1	Compustat: AT	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L450, L1547	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L450	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	450,1547	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
alm	\(\displaystyle \begin{aligned} \mathrm{ALM}_{i,t}&=\frac{\mathrm{ALA}_{i,t}} {\mathrm{AT}_{i,t}+\mathrm{PRCC\_F}_{i,t}\mathrm{CSHO}_{i,t}-\mathrm{CEQ}_{i,t}},\\ \mathrm{ALA}_{i,t}&=\mathrm{CHE}_{i,t} +0.75(\mathrm{ACT}_{i,t}-\mathrm{CHE}_{i,t})\\ &\quad-0.5(\mathrm{AT}_{i,t}-\mathrm{ACT}_{i,t}-\mathrm{GDWL}_{i,t}-\mathrm{INTAN}_{i,t}). \end{aligned}\)	-1	Compustat: ACT, AT, CEQ, CHE, CSHO, GDWL, INTAN, PRCC_F	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L1019, L2445	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L1019	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	1019,2445	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
ato	\(\displaystyle \mathrm{ATO}^{A}_{i,t}=\frac{\mathrm{SALE}_{i,t}}{\mathrm{NOA}^{raw}_{i,t-1}},\quad \mathrm{ATO}^{Q}_{i,t}=\frac{\mathrm{SALEQ}_{i,t}}{\mathrm{NOA}^{raw}_{i,t-4}}\)	+1	Compustat: SALE, SALEQ	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L608, L1769	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L608	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	608,1769	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
baspread	\(\displaystyle \mathrm{BASPREAD}_{i,t}=\operatorname{Mean}_{d\in W_t}\left[\frac{\mathrm{DLYHIGH}_{i,d}-\mathrm{DLYLOW}_{i,d}}{(\mathrm{DLYHIGH}_{i,d}+\mathrm{DLYLOW}_{i,d})/2}\right]\)	+1	CRSP: DLYHIGH, DLYLOW	日频输入；滚动 3 个月，至少 21 个观测。	Daily inputs; rolling three months with at least 21 observations.	信号在 t 月形成；最终输出将收益移至 t+1 月。	The signal is formed at month t; final output shifts the return to month t+1.	EquityChars CIZ · rolling_chars.py · L159	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/rolling_chars.py#L159	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/rolling_chars.py	159	日频输入；滚动 3 个月，至少 21 个观测。	Daily inputs; rolling three months with at least 21 observations.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
beta	\(\displaystyle \mathrm{BETA}_{i,t}= \frac{\sum_{s\in W_{i,t}}(\mathrm{MKTRF}_s-\overline{\mathrm{MKTRF}}) (\mathrm{EXRET}_{i,s}-\overline{\mathrm{EXRET}}_i)} {\sum_{s\in W_{i,t}}(\mathrm{MKTRF}_s-\overline{\mathrm{MKTRF}})^2}\)	+1	Factor data: EXRET, MKTRF	日频输入；滚动 3 个月，至少 21 个观测。	Daily inputs; rolling three months with at least 21 observations.	信号在 t 月形成；最终输出将收益移至 t+1 月。	The signal is formed at month t; final output shifts the return to month t+1.	EquityChars CIZ · rolling_chars.py · L108	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/rolling_chars.py#L108	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/rolling_chars.py	108	日频输入；滚动 3 个月，至少 21 个观测。	Daily inputs; rolling three months with at least 21 observations.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
